"","SAMPLE_ID","FQCbasicStats","perBaseQual","perTileQual","perSeqQual","perBaseContent","GCcontent","Ncontent","SeqLengthDist","SeqDuplication","OverrepSeqs","AdapterContent","KmerContent","SeqLength_R1","percentGC_R1","phred18-19_R1","phred44-45_R1","phred70-71_R1","phred92_R1","phredGT30_R1","phredGT35_R1","Adapter44-45_R1","Adapter62-63_R1","Adapter80_R1","SeqLength_R2","percentGC_R2","phred18-19_R2","phred44-45_R2","phred70-71_R2","phred92_R2","phredGT30_R2","phredGT35_R2","Adapter44-45_R2","Adapter62-63_R2","Adapter80_R2","bamFile","trimmed","numReads","numMapped","numUnmapped","overallMapRate","concordMapRate","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Ambiguity","gene_Unassigned_MultiMapping","gene_Unassigned_NoFeatures","gene_Unassigned_Unmapped","gene_Unassigned_MappingQuality","gene_Unassigned_FragmentLength","gene_Unassigned_Chimera","gene_Unassigned_Secondary","gene_Unassigned_Nonjunction","gene_Unassigned_Duplicate","rRNA_rate"
"SRR4047279","SRR4047279","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN","PASS","FAIL","92","45","40.0","40.0","36.0","35.0",0.906785575835956,0.794305373573288,0,0,0,"92","45","40.0","39.0","36.0","34.0",0.87115450449612,0.728493850460619,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047279_accepted_hits.sorted.bam",FALSE,24712420,21723906,2988514,0.8791,0.831,21813408,585433,0.0261367541293766,0.672056343523745,7888594,467233,645401,2736767,0,0,0,0,0,0,0,1.49583056245511e-05
"SRR4047280","SRR4047280","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","WARN","PASS","PASS","FAIL","92","44","40.0","40.0","36.5","35.0",0.915778586105627,0.809007579536652,0,0,0,"92","44","40.0","39.0","36.5","34.0",0.876884193049222,0.740159786045644,0,8.0535697689608e-06,8.0535697689608e-06,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047280_accepted_hits.sorted.bam",FALSE,24833708,22834238,1999470,0.9195,0.8693,22699913,623232,0.0267216106575678,0.457698333436468,5584311,301277,478654,5836613,0,0,0,0,0,0,0,1.00280947819704e-05
"SRR4047281","SRR4047281","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","92","46","40.0","40.0","36.0","34.0",0.906853111179761,0.791462051756796,1.90536387877211e-05,1.90536387877211e-05,1.90536387877211e-05,"92","46","40.0","39.0","35.5","34.0",0.850080253926574,0.696311101208864,1.27024258584807e-05,1.27024258584807e-05,1.90536387877211e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047281_accepted_hits.sorted.bam",FALSE,31490048,28455793,3034255,0.9036,0.8515,27851355,1372767,0.046973763660034,0.674553350184093,10374443,628024,765684,3611571,0,0,0,0,0,0,0,3.3062015955941e-05
"SRR4047282","SRR4047282","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN","PASS","FAIL","92","46","40.0","40.0","36.0","35.0",0.913470603282595,0.799694588896339,0,0,0,"92","46","40.0","39.0","35.5","34.0",0.860386493820695,0.704212627725224,0,0,1.15958350543485e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047282_accepted_hits.sorted.bam",FALSE,17247572,15491485,1756087,0.8982,0.8489,15691310,274882,0.017216503471836,0.773016449516881,6478773,398423,466964,1036998,0,0,0,0,0,0,0,2.16090299814486e-06
"SRR4047283","SRR4047283","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN/PASS","PASS","FAIL","92","45","40.0","40.0","36.0","35.0",0.924089544210531,0.824235575153797,0,0,0,"92","45","40.0","38.0","35.5","34.0",0.862274181025362,0.693958159810251,0,0,1.73794636436828e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047283_accepted_hits.sorted.bam",FALSE,23015670,19700377,3315293,0.856,0.8113,19229471,970544,0.048046696995027,0.634768589938163,6704582,360442,493288,3003934,0,0,0,0,0,0,0,2.01354834648901e-05
"SRR4047284","SRR4047284","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS/WARN","PASS","FAIL","92","44","40.0","40.0","36.0","35.0",0.91449453125,0.807584244791667,6.51041666666667e-06,1.30208333333333e-05,5.20833333333333e-05,"92","44","40.0","39.0","36.0","34.0",0.8630767578125,0.709677864583333,4.23177083333333e-05,4.55729166666667e-05,5.859375e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047284_accepted_hits.sorted.bam",FALSE,30720000,27419926,3300074,0.8926,0.8424,27769549,343081,0.0122038030593367,0.59486288927403,8780830,519146,697131,4763992,0,0,0,0,0,0,0,1.77659742871688e-05
"SRR4047285","SRR4047285","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","WARN","PASS","FAIL","92","44","40.0","40.0","36.0","35.0",0.904075515770801,0.793492468976801,0.000145547806505962,0.000177188634007258,0.000278439282011405,"92","45","40.0","39.0","36.0","34.0",0.871188545919194,0.734076057461768,0.000142383723755832,0.000196173130508035,0.00023414212350959,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047285_accepted_hits.sorted.bam",FALSE,31604736,28401653,3203083,0.8987,0.8459,28224200,759267,0.0261965554362423,0.611037588097359,9323371,539358,609086,4786446,0,0,0,0,0,0,0,2.57417622874816e-06
"SRR4047286","SRR4047286","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","WARN","PASS","FAIL","92","44","40.0","40.0","36.0","35.0",0.914308656749451,0.81133884235542,1.82912581047421e-05,3.65825162094843e-05,0.000100601919576082,"92","44","40.0","39.0","36.0","34.0",0.880689690178097,0.74705348409598,1.82912581047421e-05,3.65825162094843e-05,7.31650324189686e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047286_accepted_hits.sorted.bam",FALSE,21868370,19315606,2552764,0.8833,0.8364,19412839,367590,0.0185835201046448,0.668203400312229,6906545,435841,450522,2543084,0,0,0,0,0,0,0,8.68741172322775e-07
"SRR4047287","SRR4047287","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","92","45","40.0","40.0","36.5","35.0",0.930459450052485,0.835659017933627,3.1548430903297e-05,3.94355386291213e-05,6.30968618065941e-05,"92","45","40.0","39.0","36.5","34.0",0.897289587542913,0.767043783464505,2.36613231774728e-05,3.1548430903297e-05,4.73226463549456e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047287_accepted_hits.sorted.bam",FALSE,25357838,23178015,2179823,0.914,0.8714,23148019,579976,0.0244426888997574,0.552678153443239,6815454,404219,528916,4583098,0,0,0,0,0,0,0,6.32386338459624e-05
"SRR4047288","SRR4047288","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL/WARN","WARN","PASS","FAIL","92","45","40.0","40.0","36.0","35.0",0.905499760496206,0.794791054393997,0.000163458460041502,0.000274907410069799,0.000334346850084891,"92","45","40.0","39.0","36.0","34.0",0.873182759857901,0.7337529163404,0.000148598600037729,0.00025261762006414,0.00035663664009055,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047288_accepted_hits.sorted.bam",FALSE,26918154,23327870,3590284,0.8666,0.8202,23086868,721166,0.0302908673601525,0.657650825100319,8189268,438890,496780,3327366,0,0,0,0,0,0,0,0
