"","SAMPLE_ID","FQCbasicStats","perBaseQual","perTileQual","perSeqQual","perBaseContent","GCcontent","Ncontent","SeqLengthDist","SeqDuplication","OverrepSeqs","AdapterContent","KmerContent","SeqLength_R1","percentGC_R1","phred18-19_R1","phred44-45_R1","phred70-71_R1","phred92_R1","phredGT30_R1","phredGT35_R1","Adapter44-45_R1","Adapter62-63_R1","Adapter80_R1","SeqLength_R2","percentGC_R2","phred18-19_R2","phred44-45_R2","phred70-71_R2","phred92_R2","phredGT30_R2","phredGT35_R2","Adapter44-45_R2","Adapter62-63_R2","Adapter80_R2","bamFile","trimmed","numReads","numMapped","numUnmapped","overallMapRate","concordMapRate","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Ambiguity","gene_Unassigned_MultiMapping","gene_Unassigned_NoFeatures","gene_Unassigned_Unmapped","gene_Unassigned_MappingQuality","gene_Unassigned_FragmentLength","gene_Unassigned_Chimera","gene_Unassigned_Secondary","gene_Unassigned_Nonjunction","gene_Unassigned_Duplicate","rRNA_rate"
"SRR4047289","SRR4047289","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN","PASS","FAIL","92","47","40.0","40.0","35.5","35.0",0.906845116016889,0.794350752020483,0,0,0,"92","47","40.0","38.0","35.0","34.0",0.849367964366535,0.683206529946055,8.92478795596295e-06,1.78495759119259e-05,2.67743638678889e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047289_accepted_hits.sorted.bam",FALSE,22409496,19214749,3194747,0.8574,0.8081,19312543,541629,0.0272803620317181,0.67399554971803,7026072,508530,619170,2270736,0,0,0,0,0,0,0,4.9814462476331e-06
"SRR4047290","SRR4047290","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","WARN","PASS","FAIL","92","45","40.0","40.0","36.0","35.0",0.913726872839276,0.804991682801485,6.61986510303688e-06,1.32397302060738e-05,1.98595953091106e-05,"92","45","40.0","38.0","36.0","34.0",0.846531733514947,0.674813955311144,6.61986510303688e-06,1.32397302060738e-05,1.98595953091106e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047290_accepted_hits.sorted.bam",FALSE,30212096,27156036,3056060,0.8988,0.8461,27113464,615973,0.0222136857665015,0.511722997436437,7461170,417401,588191,6113724,0,0,0,0,0,0,0,1.48770233086768e-05
"SRR4047291","SRR4047291","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","PASS/WARN","PASS","FAIL","92","46","40.0","40.0","35.5","34.0",0.911021846355778,0.795280305465849,7.55385597153465e-06,7.55385597153465e-06,7.55385597153465e-06,"92","46","40.0","39.0","35.5","34.0",0.880889817039565,0.733936272045173,1.51077119430693e-05,1.51077119430693e-05,1.51077119430693e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047291_accepted_hits.sorted.bam",FALSE,26476544,22850146,3626398,0.863,0.8203,21449949,2013714,0.085822661193182,0.736333779271931,8999590,490214,611943,2120414,0,0,0,0,0,0,0,2.55567198061245e-06
"SRR4047292","SRR4047292","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL/WARN","WARN","PASS","FAIL","92","44","40.0","40.0","36.0","35.0",0.916461181640625,0.811310178842118,0,0,0,"92","44","40.0","39.0","36.0","34.0",0.87720801510028,0.736328671583489,0,0,9.10972481343284e-06,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047292_accepted_hits.sorted.bam",FALSE,21954560,19970876,1983684,0.9096,0.8571,19639745,818985,0.0400310771978515,0.632135389754352,6794597,405413,498084,3050548,0,0,0,0,0,0,0,5.90174810956411e-05
"SRR4047293","SRR4047293","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN/PASS","PASS","FAIL","92","45","40.0","40.0","36.0","35.0",0.916351507387732,0.813607622161046,2.52037809704061e-05,2.52037809704061e-05,2.52037809704061e-05,"92","45","40.0","39.0","36.0","34.0",0.874630512570974,0.727519487563446,8.40126032346869e-06,8.40126032346869e-06,8.40126032346869e-06,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047293_accepted_hits.sorted.bam",FALSE,23805952,20567300,3238652,0.864,0.8176,19995941,1019842,0.0485274329298128,0.602169071468626,6611593,427289,443373,3497374,0,0,0,0,0,0,0,3.02498959025457e-07
"SRR4047294","SRR4047294","PASS","PASS","PASS","PASS","WARN","PASS","PASS","PASS","FAIL","WARN","PASS","FAIL","92","48","40.0","40.0","35.0","35.0",0.911254627257066,0.798933328653829,0,0,0,"92","48","40.0","39.0","35.0","34.0",0.882466563126963,0.735669558645543,0,0,8.51851448011165e-06,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047294_accepted_hits.sorted.bam",FALSE,23478272,19221573,4256699,0.8187,0.7787,18729380,897843,0.0457447800944637,0.801249448260905,8194181,570958,437189,1024426,0,0,0,0,0,0,0,1.22037821717631e-07
"SRR4047295","SRR4047295","PASS","PASS","PASS/WARN","PASS","FAIL","PASS","PASS","PASS","FAIL/WARN","PASS","PASS","FAIL","92","46","40.0","40.0","36.0","34.0",0.923108515681165,0.808569967789585,0,0,1.75514468008627e-05,"92","46","40.0","38.0","35.0","34.0",0.843901468985891,0.649686197682647,0,0,8.77572340043134e-06,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047295_accepted_hits.sorted.bam",FALSE,22790144,20014214,2775930,0.8782,0.8312,19565933,1147459,0.0553969625061892,0.743957068941226,8036687,559472,671790,1534673,0,0,0,0,0,0,0,7.71462170916946e-06
"SRR4047296","SRR4047296","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","WARN","PASS","FAIL","92","45","40.0","40.0","36.0","34.0",0.915380493621255,0.801620563407069,0,0,0,"92","45","40.0","39.0","36.0","34.0",0.886707228757022,0.746543535668305,9.1438436329588e-06,9.1438436329588e-06,9.1438436329588e-06,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047296_accepted_hits.sorted.bam",FALSE,21872640,19988674,1883966,0.9139,0.8668,19617373,859567,0.0419773169233294,0.752884152514093,8054573,492655,476618,1674444,0,0,0,0,0,0,0,3.60043915425436e-06
"SRR4047297","SRR4047297","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","92","45","40.0","40.0","36.0","35.0",0.914357017403218,0.808053543318563,3.64388992537313e-05,9.10972481343284e-05,0.000109316697761194,"92","45","40.0","39.0","36.0","34.0",0.871005658961054,0.721082818330224,2.27743120335821e-05,6.37680736940298e-05,0.000100206972947761,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047297_accepted_hits.sorted.bam",FALSE,21954560,19480555,2474005,0.8873,0.8363,18642265,1318991,0.0660775554403991,0.647465305211825,6796701,414759,499245,2786693,0,0,0,0,0,0,0,2.51592647668332e-05
"SRR4047298","SRR4047298","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","WARN","WARN","FAIL","92","44","40.0","40.0","36.0","34.0",0.893402256800727,0.785981280037022,8.98236295069904e-06,1.79647259013981e-05,1.79647259013981e-05,"92","44","40.0","38.5","36.0","34.0",0.858546377017798,0.703847810746643,4.49118147534952e-06,8.98236295069904e-06,8.98236295069904e-06,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047298_accepted_hits.sorted.bam",FALSE,22265856,17807815,4458041,0.7998,0.743,17741611,486219,0.0266745410726345,0.503199515709691,4846938,319984,422739,4042578,0,0,0,0,0,0,0,0
"SRR4047299","SRR4047299","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL/WARN","WARN","PASS","FAIL","92","43","40.0","40.0","36.5","35.0",0.910923193217019,0.80645574008063,0,0,0,"92","43","40.0","39.0","36.5","34.0",0.883356567026922,0.756251032081359,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047299_accepted_hits.sorted.bam",FALSE,22478848,20164892,2313956,0.8971,0.8482,20072152,545886,0.02647613706018,0.49849448748448,5375451,329581,448963,4629376,0,0,0,0,0,0,0,9.85963782387748e-06
"SRR4047300","SRR4047300","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","WARN","PASS","PASS","FAIL","92","44","40.0","40.0","36.5","35.0",0.915614219460908,0.809885193104945,0,0,1.16925586685824e-05,"92","44","40.0","39.0","36.0","34.0",0.87247464117876,0.724540038127095,1.16925586685824e-05,1.16925586685824e-05,1.16925586685824e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047300_accepted_hits.sorted.bam",FALSE,17104896,15614460,1490436,0.9129,0.8659,15689346,278460,0.0174388391241727,0.512136459600704,4268662,237913,342120,3486314,0,0,0,0,0,0,0,2.62377297616911e-05
"SRR4047301","SRR4047301","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","92","44","40.0","40.0","36.0","34.0",0.919826871869855,0.812671916806737,0,0,0,"92","45","39.0","38.0","35.0","33.0",0.830187197705132,0.620524133206984,0,0,1.33995952250274e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047301_accepted_hits.sorted.bam",FALSE,14925824,13010848,1914976,0.8717,0.8253,13213003,136113,0.0101964055147921,0.614793959010023,4293571,257321,330863,2102001,0,0,0,0,0,0,0,0
"SRR4047302","SRR4047302","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","WARN","PASS","PASS","FAIL","92","44","40.0","40.0","37.0","35.0",0.923359452729287,0.829322207681349,0,0,1.7665747105644e-05,"92","44","40.0","40.0","37.0","35.0",0.898335745296671,0.788619796377533,0,1.7665747105644e-05,1.7665747105644e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047302_accepted_hits.sorted.bam",FALSE,11321344,10229328,1092016,0.9035,0.8598,10238378,223713,0.0213832015034088,0.493692397006753,2686402,163351,223710,2367986,0,0,0,0,0,0,0,9.19445414349751e-05
"SRR4047303","SRR4047303","PASS","WARN/PASS","NA","PASS","FAIL","PASS","FAIL/PASS","PASS","WARN","WARN","PASS","FAIL","100","47","41.0","40.5","36.0","35.0",0.94171870323888,0.859818160016364,0,0,0,"100","47","41.0","40.0","36.0","35.0",0.898265436396815,0.796855838961882,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047303_accepted_hits.sorted.bam",FALSE,3969644,3452584,517060,0.8697,0.8233,3391843,152360,0.042988508276755,0.665383814596142,1233583,89946,87230,443183,0,0,0,0,0,0,0,4.2153628900528e-05
"SRR4047304","SRR4047304","PASS","PASS","NA","PASS","FAIL","PASS/WARN","FAIL/PASS","PASS","FAIL","PASS/WARN","PASS","FAIL","100","45","41.0","41.0","37.0","35.0",0.959589223474799,0.889109378161398,0,0,0,"100","45","41.0","40.0","37.0","35.0",0.919138601407144,0.829497822095141,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047304_accepted_hits.sorted.bam",FALSE,8382368,7596715,785653,0.9063,0.8706,7433897,361111,0.0463259306468961,0.622327114755733,2509526,135886,180855,1206220,0,0,0,0,0,0,0,0
"SRR4047305","SRR4047305","PASS","PASS","NA","PASS","FAIL","WARN","FAIL/PASS","PASS","FAIL","PASS/WARN","PASS","FAIL","100","44","41.0","41.0","37.0","35.0",0.954252707593393,0.880524703630568,2.10609318030179e-05,2.10609318030179e-05,2.10609318030179e-05,"100","45","41.0","40.0","37.0","35.0",0.895543464708618,0.794352637502612,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047305_accepted_hits.sorted.bam",FALSE,9496256,8605243,891013,0.9062,0.8597,8480207,332608,0.0377414027186546,0.635561107297425,2926607,170891,190687,1316576,0,0,0,0,0,0,0,5.46708184597385e-06
"SRR4047306","SRR4047306","PASS","PASS","NA","PASS","FAIL","PASS","WARN/PASS","PASS","FAIL","WARN","PASS","FAIL","100","45","41.0","41.0","36.5","35.0",0.958693154996066,0.893702202989772,0,0,0,"100","46","41.0","40.0","36.5","35.0",0.924263571990559,0.834905586152636,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047306_accepted_hits.sorted.bam",FALSE,5084000,4263670,820330,0.8386,0.7995,4056548,276400,0.0637902878132856,0.762534340659341,1718667,108769,68752,357700,0,0,0,0,0,0,0,3.49107767822388e-06
"SRR4047307","SRR4047307","PASS","PASS","NA","PASS","FAIL","PASS","WARN/PASS","PASS","FAIL","WARN","PASS","FAIL","100","46","41.0","41.0","36.5","35.0",0.955359945628354,0.883575898198273,5.55265994622064e-05,0.000111053198924413,0.000148070931899217,"100","46","41.0","40.0","36.5","35.0",0.917614444023265,0.827461827313756,9.25443324370106e-05,0.000111053198924413,0.000111053198924413,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047307_accepted_hits.sorted.bam",FALSE,5402816,4480949,921867,0.8294,0.7924,4426518,181474,0.0393824468445258,0.664743358024175,1590681,94548,113587,594109,0,0,0,0,0,0,0,0
"SRR4047308","SRR4047308","PASS","PASS","NA","PASS","FAIL","WARN","WARN/PASS","PASS","WARN","WARN","PASS","FAIL","100","43","41.0","41.0","37.5","35.0",0.963349879407568,0.911349701066649,0,0,0,"100","43","41.0","40.0","37.5","35.0",0.92795663767919,0.848354486547999,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047308_accepted_hits.sorted.bam",FALSE,3768064,3484491,283573,0.9247,0.8844,3413171,141079,0.0396930435394246,0.509237411475823,939459,48571,64812,791993,0,0,0,0,0,0,0,4.68354659436974e-05
"SRR4047309","SRR4047309","PASS","PASS","NA","PASS","FAIL","WARN","WARN/PASS","PASS","WARN/FAIL","PASS","PASS","FAIL","100","45","41.0","41.0","37.0","35.0",0.963021687876573,0.900622509616843,0,0,0,"100","45","41.0","40.0","37.0","35.0",0.91623781521874,0.824017375808297,0,0,2.1543106895173e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047309_accepted_hits.sorted.bam",FALSE,4641856,4307947,333909,0.9281,0.8891,4186440,208842,0.0475150399906081,0.691140072636887,1574923,87207,84820,531782,0,0,0,0,0,0,0,1.14291301860472e-05
"SRR4047310","SRR4047310","PASS","PASS","NA","PASS","FAIL","WARN","WARN/PASS","PASS","PASS/WARN","PASS","PASS","FAIL","100","44","41.0","40.0","37.0","35.0",0.947787778754126,0.851956523460074,0,0,0,"100","44","41.0","40.0","37.0","35.0",0.92745218530569,0.837613599480688,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047310_accepted_hits.sorted.bam",FALSE,4042272,3721542,320730,0.9207,0.8823,3628826,163213,0.0430409602854823,0.568700430131155,1118015,57369,67511,723017,0,0,0,0,0,0,0,0
"SRR4047311","SRR4047311","PASS","PASS","NA","PASS","FAIL","PASS","WARN/PASS","PASS","PASS/WARN","WARN","PASS","FAIL","100","45","41.0","41.0","37.0","35.0",0.953645803859431,0.882892521645634,0,0,0,"100","46","41.0","40.0","37.0","35.0",0.897318523286741,0.801360633240903,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047311_accepted_hits.sorted.bam",FALSE,2261888,2036013,225875,0.9001,0.8511,1984147,101910,0.0488529316313025,0.648427139800122,707541,43626,48505,291493,0,0,0,0,0,0,0,0
"SRR4047312","SRR4047312","PASS","PASS","FAIL/PASS","PASS","FAIL","WARN","WARN/PASS","PASS","WARN","WARN","PASS","FAIL","100","44","41.0","41.0","37.0","35.0",0.952913851351351,0.884813463365709,0,0,0,"100","44","41.0","40.0","37.0","35.0",0.920427477037584,0.83623607738598,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047312_accepted_hits.sorted.bam",FALSE,2424832,2161389,263443,0.8914,0.8499,2119191,98153,0.0442660227731917,0.541492631413035,625261,35716,50305,443417,0,0,0,0,0,0,0,0
"SRR4047313","SRR4047313","PASS","PASS","FAIL/PASS","PASS","FAIL","PASS/WARN","FAIL/PASS","PASS","WARN/FAIL","PASS/WARN","PASS","FAIL","100","45","41.0","41.0","37.0","35.0",0.958165735631556,0.889909650895979,0,0,0,"100","45","41.0","40.0","37.0","35.0",0.921733296000874,0.836549558839598,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047313_accepted_hits.sorted.bam",FALSE,2342912,1997416,345496,0.8525,0.8173,1986600,67141,0.0326920483157321,0.680603857172003,723910,32896,52764,254059,0,0,0,0,0,0,0,0
"SRR4047314","SRR4047314","PASS","WARN/PASS","FAIL/WARN","PASS","FAIL","PASS/WARN","FAIL/PASS","PASS","WARN","WARN","PASS","FAIL","100","44","41.0","41.0","37.0","35.0",0.954889547413793,0.878014715786638,0,0,0,"100","44","41.0","40.0","37.0","35.0",0.919792227909483,0.835994746767241,0,8.41864224137931e-05,8.41864224137931e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047314_accepted_hits.sorted.bam",FALSE,2375680,2144306,231374,0.9026,0.8637,2088352,93628,0.0429096508675607,0.603925543401967,684026,36255,35015,377337,0,0,0,0,0,0,0,2.1928991003266e-05
"SRR4047315","SRR4047315","PASS","WARN/PASS","NA","PASS","FAIL","PASS/WARN","FAIL/PASS","PASS","PASS","WARN","WARN","FAIL","100","44","41.0","41.0","37.0","35.0",0.949751514543918,0.872746086533091,0,0,0,"100","44","41.0","40.0","37.0","35.0",0.910062765850794,0.827116422955187,8.95120519026682e-05,0.000179024103805336,0.000179024103805336,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047315_accepted_hits.sorted.bam",FALSE,2234336,1859036,375300,0.832,0.7806,1840493,57677,0.0303855819025693,0.634449307222233,629158,39413,37886,285203,0,0,0,0,0,0,0,1.4304832808293e-05
