"","iPSC","NPC","Fetal_replicating","Fetal_quiescent","OPC","Neurons","Astrocytes","Oligodendrocytes","Microglia","Endothelial"
"ENSG00000240563.1",2.01740840930696,-0.565922136847487,-0.553552894419464,-0.496222561252821,-0.696063705514454,-0.60829179749278,-0.590301033268013,-0.602386371423022,-0.545873995887772,-0.620597909068873
"ENSG00000241186.8",1.96062197683548,-0.598222847541424,-0.553552894419464,-0.494120616541953,-0.696063705514454,-0.645996045429503,-0.589348753405797,-0.599183542716641,-0.545873995887772,-0.312124021001046
"ENSG00000254934.5",1.73914405343182,-0.599190241020106,-0.553552894419464,-0.481539135396641,-0.696063705514454,-0.631281831822158,-0.590301033268013,-0.604984047516549,-0.545873995887772,-0.620597909068873
"ENSG00000254277.1",1.71946844008985,-0.599190241020106,-0.553552894419464,-0.498113148872421,-0.696063705514454,-0.636708683816646,-0.590301033268013,-0.604984047516549,-0.545873995887772,-0.620597909068873
"ENSG00000265992.1",1.64519847585476,-0.598962531414889,-0.553552894419464,-0.496745093275226,-0.696063705514454,-0.637572196186592,-0.586308886173131,-0.602612004248066,-0.545873995887772,-0.620597909068873
"ENSG00000088305.18",1.67832095485333,-0.0160291532975289,-0.441397031472492,-0.478232116450066,-0.696063705514454,-0.623604337224604,-0.490029460820268,-0.604984047516549,-0.545873995887773,-0.620597909068874
"ENSG00000131914.10",1.46763232466608,-0.417014887881699,-0.549376749923016,-0.494058030212835,-0.672410368529284,-0.613412909055224,-0.54541739280304,-0.599017691934508,-0.545873995887772,-0.599151630725506
"ENSG00000121570.12",1.49362822362462,-0.138889140569466,-0.553552894419464,-0.486865465907273,-0.696063705514454,-0.634652097619013,-0.576069715878885,-0.590634000799835,-0.538248526249187,-0.620597909068873
"ENSG00000249152.1",1.40325821446607,-0.599190241020106,-0.553552894419464,-0.498113148872421,-0.696063705514454,-0.648435088491194,-0.590301033268013,-0.604984047516549,-0.545873995887772,-0.620597909068873
"ENSG00000185885.15",1.51122673624369,-0.423942123061561,-0.553552894419464,-0.498113148872421,-0.696063705514454,-0.609834078464394,-0.547093644510368,-0.604984047516549,-0.545873995887772,2.08334912832413
"ENSG00000280707.2",1.35728724240844,-0.552348209281158,-0.553552894419464,-0.498113148872421,-0.696063705514454,-0.644028737032876,-0.590301033268013,-0.604984047516549,-0.545873995887772,-0.620597909068873
"ENSG00000254339.5",1.3265553072643,-0.599190241020106,-0.553552894419464,-0.498113148872421,-0.665413203813414,-0.640954673353137,-0.590301033268013,-0.598736041549263,-0.545873995887772,-0.620597909068873
"ENSG00000163191.5",1.49190389267985,-0.364086051561159,-0.536456279135696,-0.498113148872421,-0.0245771320370036,-0.595568054638842,-0.590301033268013,-0.56661962607447,1.24355824550883,0.644436008622858
"ENSG00000253507.5",1.2475410149616,-0.599190241020106,-0.553552894419464,-0.463982858576388,-0.672394969525463,-0.630743219112665,-0.590301033268013,-0.596858118546623,-0.545873995887772,-0.620597909068873
"ENSG00000136110.12",1.27129974482202,-0.599190241020106,-0.390551468496745,-0.476446431016712,-0.696063705514454,-0.560563871114026,-0.56636506431975,-0.50216928858326,-0.545873995887772,-0.620597909068873
"ENSG00000134057.14",1.52144864979966,0.929348320526835,-0.37096131678225,-0.470777552202248,-0.685394068494532,-0.477725706474259,-0.523857640479276,-0.456155279332809,-0.533251395384587,-0.612841721190279
"ENSG00000123975.4",1.99984867089638,1.68495317454531,1.69708395281805,0.0457440163698056,-0.519038439115685,-0.0473440026211702,-0.401041159706672,-0.220696657402052,-0.13485846768613,0.359891122068955
"ENSG00000112118.17",1.49310970777334,0.606900358892665,0.322381773415127,-0.481089677749793,-0.48524395371759,-0.47040628321511,-0.291807143082862,-0.482506817792604,-0.424434385546426,-0.594949605939736
"ENSG00000165349.11",1.17466536957139,-0.517814397168173,-0.493746209675318,-0.496643858364961,-0.682786096667906,-0.536489065300547,-0.578565262870723,-0.600576408590684,-0.545873995887772,-0.620597909068873
"ENSG00000089685.14",1.44978057270174,1.32089784263161,0.335792559341871,-0.498113148872421,-0.696063705514454,-0.628793471454587,-0.589117258479474,-0.577795337374164,-0.537341357230193,-0.589238678758238
"ENSG00000146386.7",1.65550396209508,0.581168235153124,-0.379828715015184,0.717888880542422,-0.696063705514454,-0.355807862176664,-0.475045790024413,-0.551144386217194,-0.108779632946633,-0.489776111483213
"ENSG00000125144.13",1.30530565023695,-0.598012260176136,-0.553552894419464,-0.492162030826755,-0.696063705514454,-0.519568757871287,0.730959350712707,-0.557733874461955,-0.362428091965399,-0.377388032900618
