"","SAMPLE_ID","FQCbasicStats","perBaseQual","perTileQual","perSeqQual","perBaseContent","GCcontent","Ncontent","SeqLengthDist","SeqDuplication","OverrepSeqs","AdapterContent","KmerContent","SeqLength_R1","percentGC_R1","phred13_R1","phred25_R1","phred37_R1","phred50_R1","phredGT30_R1","phredGT35_R1","Adapter24_R1","Adapter32_R1","Adapter38_R1","SeqLength_R2","percentGC_R2","phred13_R2","phred25_R2","phred37_R2","phred50_R2","phredGT30_R2","phredGT35_R2","Adapter24_R2","Adapter32_R2","Adapter38_R2","ERCCsumLogErr","bamFile","trimmed","numReads","numMapped","numUnmapped","overallMapRate","concordMapRate","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Ambiguity","gene_Unassigned_MultiMapping","gene_Unassigned_NoFeatures","gene_Unassigned_Unmapped","gene_Unassigned_MappingQuality","gene_Unassigned_FragmentLength","gene_Unassigned_Chimera","gene_Unassigned_Secondary","gene_Unassigned_Nonjunction","gene_Unassigned_Duplicate","rRNA_rate"
"SRR1950796","SRR1950796","PASS","PASS","WARN","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","49","39.0","40.0","40.0","38.0",0.945529724277062,0.783510013005159,0.0185328392110693,0.023548198166744,0.0272506748744742,"50","49","39.0","39.0","39.0","37.0",0.881952397232794,0.716061654512433,0.0177778389381721,0.0222353159187995,0.0255881865888335,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950796_accepted_hits.sorted.bam",FALSE,107549630,102287843,5261787,0.9511,0.9109,103618184,3705417,0.0345256492092545,0.725910192837197,40275313,2335408,4715813,8155967,0,0,0,0,0,0,0,1.14462176867502e-05
"SRR1950797","SRR1950797","PASS","PASS","PASS/FAIL","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","49","39.0","40.0","39.0","38.0",0.937174238138513,0.759721580923179,0.0105557763257844,0.0139223743465231,0.0167577033125123,"50","49","39.0","39.0","38.0","38.0",0.879944316184636,0.700612983633291,0.00999893817214325,0.0132320086764476,0.0159153435545806,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950797_accepted_hits.sorted.bam",FALSE,140794950,134786998,6007952,0.9573,0.9202,137484128,4110491,0.0290299944237288,0.730466812582419,53377893,3134856,6321113,10239811,0,0,0,0,0,0,0,1.15403581029322e-05
"SRR1950798","SRR1950798","PASS","PASS","WARN/PASS","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","48","39.0","40.0","40.0","38.0",0.953224836849741,0.809511441314147,0.00888142715123124,0.0121161364084165,0.0145052922502682,"50","48","39.0","40.0","39.0","38.0",0.915804091381596,0.775948081441378,0.00843475888514592,0.0115094985772681,0.0138072432390837,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950798_accepted_hits.sorted.bam",FALSE,96268312,93141744,3126568,0.9675,0.9313,94048100,3369009,0.0345833399757326,0.721820946047794,36058613,2270174,3959032,7667247,0,0,0,0,0,0,0,1.22578203437831e-05
"SRR1950799","SRR1950799","PASS","PASS","WARN/FAIL","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","49","39.0","40.0","40.0","38.0",0.941346700405878,0.774050703400072,0.014347384935418,0.0195316307564885,0.0238702848807651,"50","49","39.0","39.0","39.0","37.0",0.865759166383112,0.693943189644447,0.0130605481168427,0.0175544836254397,0.0213273600325888,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950799_accepted_hits.sorted.bam",FALSE,130086424,122545402,7541022,0.942,0.8956,123504217,4677213,0.0364890062468487,0.745815281040204,49887878,2816350,5568507,8617659,0,0,0,0,0,0,0,9.1805869153224e-06
"SRR1950800","SRR1950800","PASS","PASS","WARN","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","49","39.0","40.0","40.0","37.0",0.948759340359097,0.796713318105906,0.0219272829676497,0.0279723712180641,0.032765407401137,"50","49","39.0","39.0","39.0","37.0",0.888071254018085,0.730793150972703,0.020801527559654,0.0262463168736718,0.0305669099977106,-643.072778500803,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950800_accepted_hits.sorted.bam",FALSE,128269426,122212209,6057217,0.9528,0.9115,122607254,4976350,0.0390046200607407,0.73571902688025,48524898,2757545,5040281,9633023,0,0,0,0,0,0,0,1.26945140616267e-05
"SRR1950801","SRR1950801","PASS","PASS","WARN/PASS","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","49","39.0","40.0","40.0","38.0",0.950290543923586,0.803836727484743,0.0208362446749301,0.0274646042741421,0.0319931969040271,"50","49","39.0","40.0","39.0","38.0",0.905958962333161,0.761864173860407,0.0197211703174756,0.0261620285492314,0.0304882190407365,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950801_accepted_hits.sorted.bam",FALSE,161065492,154895428,6170064,0.9617,0.9097,158900065,3947846,0.0242425338818132,0.714452278885855,60028707,4255341,7577127,12159422,0,0,0,0,0,0,0,1.06948830332128e-05
"SRR1950802","SRR1950802","PASS","PASS","WARN/PASS","PASS","FAIL","PASS","WARN/PASS","PASS","WARN","PASS","PASS","FAIL","50","48","39.0","40.0","40.0","38.0",0.952121386284633,0.822498782724386,0.0132382717751098,0.0175361892602696,0.0208099022522304,"50","49","39.0","40.0","40.0","39.0",0.924266999292535,0.80058214723334,0.0126209430394829,0.0167380268546106,0.0197981690466196,-643.072778500803,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950802_accepted_hits.sorted.bam",FALSE,128294692,124176693,4117999,0.9679,0.9325,127389310,3452724,0.0263884922485996,0.683880070618217,45896852,2773605,6062917,12379054,0,0,0,0,0,0,0,1.42493432882935e-05
"SRR1950803","SRR1950803","PASS","PASS","WARN/PASS","PASS","FAIL","PASS","WARN/PASS","PASS","WARN","PASS","PASS","FAIL","50","48","39.0","40.0","39.0","38.0",0.941333135463002,0.78798164216283,0.0263363556569542,0.0348657059426361,0.0397561758075244,"50","48","39.0","40.0","39.0","38.0",0.89345318394918,0.741420660635926,0.0252039652075352,0.0335313394189056,0.038438364699721,-643.072778500803,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950803_accepted_hits.sorted.bam",FALSE,60403194,57959334,2443860,0.9595,0.9207,59210034,1531104,0.0252070351398421,0.701082009057975,21948154,1354265,2645910,5357786,0,0,0,0,0,0,0,1.15727272553309e-05
"SRR1950804","SRR1950804","PASS","PASS","WARN/PASS","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","49","39.0","40.0","40.0","38.0",0.950214319242231,0.803637812123045,0.00704043887521729,0.0102693831384668,0.0127061276649638,"50","49","39.0","40.0","39.0","38.0",0.91509247900864,0.77295223886214,0.0067465860444479,0.00978478373333835,0.0121270141914592,-643.072778500803,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950804_accepted_hits.sorted.bam",FALSE,116384790,111015315,5369475,0.9539,0.9203,111895316,5022729,0.0429593994665238,0.758197602609198,45727391,2430794,5781685,6370781,0,0,0,0,0,0,0,6.73556905969116e-06
"SRR1950805","SRR1950805","PASS","PASS","WARN/PASS","PASS","FAIL","PASS","WARN/PASS","PASS","WARN","PASS","PASS","FAIL","50","48","39.0","40.0","39.0","38.0",0.939825994626892,0.783581380111393,0.00899933815879546,0.0124139858196955,0.0150431042064918,"50","48","39.0","40.0","39.0","38.0",0.903564360213295,0.752971694407193,0.00841929984507876,0.011619712249405,0.0140972628356321,-643.072778500803,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950805_accepted_hits.sorted.bam",FALSE,137232314,132338007,4894307,0.9643,0.9313,135513203,3958570,0.0283825889271516,0.685717049118895,49153407,2843979,6529900,13154477,0,0,0,0,0,0,0,1.37732059956698e-05
