"","SAMPLE_ID","FQCbasicStats","perBaseQual","perTileQual","perSeqQual","perBaseContent","GCcontent","Ncontent","SeqLengthDist","SeqDuplication","OverrepSeqs","AdapterContent","KmerContent","SeqLength_R1","percentGC_R1","phred13_R1","phred25_R1","phred37_R1","phred50_R1","phredGT30_R1","phredGT35_R1","Adapter24_R1","Adapter32_R1","Adapter38_R1","SeqLength_R2","percentGC_R2","phred13_R2","phred25_R2","phred37_R2","phred50_R2","phredGT30_R2","phredGT35_R2","Adapter24_R2","Adapter32_R2","Adapter38_R2","ERCCsumLogErr","bamFile","trimmed","numReads","numMapped","numUnmapped","overallMapRate","concordMapRate","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Ambiguity","gene_Unassigned_MultiMapping","gene_Unassigned_NoFeatures","gene_Unassigned_Unmapped","gene_Unassigned_MappingQuality","gene_Unassigned_FragmentLength","gene_Unassigned_Chimera","gene_Unassigned_Secondary","gene_Unassigned_Nonjunction","gene_Unassigned_Duplicate","rRNA_rate"
"SRR1950806","SRR1950806","PASS","PASS","WARN/PASS","PASS","FAIL","PASS","WARN/PASS","PASS","WARN","PASS","PASS","FAIL","50","49","39.0","40.0","40.0","38.0",0.953069672144192,0.825026255621707,0.0146365562576772,0.0197741023177396,0.0236181785069518,"50","49","39.0","40.0","40.0","39.0",0.924354045143174,0.800041664263211,0.01378780748849,0.0187553131273283,0.0224976557311928,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950806_accepted_hits.sorted.bam",FALSE,137614338,132585201,5029137,0.9635,0.9314,136969339,2729763,0.019540304561156,0.674879302230262,48372742,2782083,6595741,13925572,0,0,0,0,0,0,0,1.52151804832565e-05
"SRR1950807","SRR1950807","PASS","PASS","WARN/PASS","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","48","39.0","40.0","40.0","38.0",0.950675625763125,0.804262987518966,0.00671427648702326,0.00914440765436799,0.0110892858996733,"50","48","39.0","40.0","39.0","38.0",0.914334937767666,0.773205118556085,0.00633728716512014,0.00865722145375473,0.0105112356060885,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950807_accepted_hits.sorted.bam",FALSE,103451206,100009648,3441558,0.9667,0.9329,101609261,3199792,0.0305297291446761,0.711402316398935,38246952,2255628,4402725,8857455,0,0,0,0,0,0,0,1.24977279235219e-05
"SRR1950808","SRR1950808","PASS","PASS","WARN/FAIL","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","49","39.0","40.0","40.0","38.0",0.94263963368351,0.777267054552468,0.018504594440137,0.0239947771615193,0.0283459810795367,"50","49","39.0","39.0","39.0","37.0",0.868757040489673,0.698298431001165,0.0170084597596175,0.0218453085593756,0.0256956231374811,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950808_accepted_hits.sorted.bam",FALSE,91836652,86629798,5206854,0.9433,0.8965,87742326,2950461,0.0325324769212352,0.730346957259232,34497252,1954177,3922237,6860394,0,0,0,0,0,0,0,1.19429802698487e-05
"SRR1950809","SRR1950809","PASS","PASS","WARN","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","49","39.0","40.0","40.0","38.0",0.942294088358632,0.776152424161595,0.0227364716467354,0.0288941933678476,0.0338308371272662,"50","49","39.0","39.0","39.0","37.0",0.877372268834548,0.706994493304716,0.0218852058677262,0.0273591239302899,0.0318352468584411,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950809_accepted_hits.sorted.bam",FALSE,114652794,108240983,6411811,0.9441,0.9037,110198629,3614914,0.0317617210106534,0.747952173469986,44193090,2536570,5411067,6944722,0,0,0,0,0,0,0,8.82490905252382e-06
"SRR1950810","SRR1950810","PASS","PASS","WARN","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","49","39.0","40.0","39.0","38.0",0.938439668178365,0.757348095720722,0.0121955493445553,0.0161878143766295,0.019608887760279,"50","50","39.0","39.0","38.0","38.0",0.864082455889535,0.68143276072434,0.0116684123711422,0.0152034202591317,0.018296362270282,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950810_accepted_hits.sorted.bam",FALSE,131654586,124350735,7303851,0.9445,0.9001,126373579,3756741,0.0288690675624251,0.741230509226583,50209006,2787531,5627338,9113496,0,0,0,0,0,0,0,1.00977900259567e-05
"SRR1950811","SRR1950811","PASS","PASS","PASS/FAIL","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","48","39.0","40.0","39.0","38.0",0.939751644807375,0.765966875586475,0.00850284558731351,0.0113371274497513,0.0134111761782516,"50","48","39.0","39.0","39.0","38.0",0.886108795425231,0.710282634315811,0.00803976707120472,0.0107654442002229,0.0127203294017766,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950811_accepted_hits.sorted.bam",FALSE,132590906,127121382,5469524,0.9587,0.921,131180389,2701894,0.0201811168696608,0.677831631932579,46920119,2669844,6280894,13350048,0,0,0,0,0,0,0,1.51107886150076e-05
"SRR1950812","SRR1950812","PASS","PASS","WARN/PASS","PASS","FAIL","PASS","WARN/PASS","PASS","WARN","PASS","PASS","FAIL","50","48","39.0","40.0","39.0","38.0",0.940630633533881,0.782229458188879,0.0120831723637361,0.0159747450440983,0.0186988459203518,"50","48","39.0","40.0","39.0","38.0",0.899014074885694,0.742491773344001,0.0115203416041796,0.015251105496097,0.0178176137596747,-643.072778500803,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950812_accepted_hits.sorted.bam",FALSE,124371312,120083351,4287961,0.9655,0.932,123779781,2677327,0.0211718189854539,0.671303721576727,43599191,2529654,5804012,13014185,0,0,0,0,0,0,0,1.64223230655817e-05
"SRR1950813","SRR1950813","PASS","PASS","WARN/FAIL","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","48","39.0","39.0","40.0","38.0",0.939705611070033,0.762996377125546,0.0160318874543386,0.0204908505021966,0.0243950377836263,"50","49","39.0","39.0","39.0","37.0",0.862227873051605,0.682344717885578,0.0152053847819044,0.019266192432768,0.0226325868793946,-643.072778500803,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950813_accepted_hits.sorted.bam",FALSE,105988768,99995235,5993533,0.9435,0.8972,101256164,3361858,0.0321345972302936,0.714791930421148,38941948,2196888,4444626,8896655,0,0,0,0,0,0,0,1.30964172619202e-05
"SRR1950814","SRR1950814","PASS","PASS","PASS/FAIL","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","49","39.0","40.0","39.0","38.0",0.937762720731819,0.76168071936414,0.0107418035514727,0.0143428811253744,0.0169976174281263,"50","49","39.0","39.0","38.0","38.0",0.883484802448188,0.705396275343538,0.010177319284471,0.0136024105868958,0.0160595773961971,-643.072778500803,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950814_accepted_hits.sorted.bam",FALSE,120463942,115112303,5351639,0.9556,0.9217,117793283,2997766,0.0248177826487789,0.717797987400256,44786948,2513875,5354308,9739789,0,0,0,0,0,0,0,1.23473472673333e-05
"SRR1950815","SRR1950815","PASS","PASS","WARN","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","49","39.0","40.0","40.0","38.0",0.945875257016783,0.78562968409732,0.016839269654625,0.021856069463907,0.0256385772566196,"50","49","39.0","39.0","39.0","38.0",0.882165369107704,0.71867040869499,0.0158040569955669,0.0202904525166226,0.0236819115713668,-643.072778500803,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950815_accepted_hits.sorted.bam",FALSE,140647430,133838820,6808610,0.9516,0.9115,135571824,4915939,0.0349919373404785,0.722419640959483,52647342,2951733,6440399,10836925,0,0,0,0,0,0,0,1.38848415177351e-05
"SRR1950816","SRR1950816","PASS","PASS","WARN","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","49","39.0","40.0","40.0","38.0",0.948120693406487,0.791722239537921,0.0147532534735812,0.019248618051371,0.0232079338553932,"50","49","39.0","40.0","38.0","38.0",0.898674363294668,0.742514346898723,0.0140742583601422,0.0182197022106115,0.0218142070435975,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950816_accepted_hits.sorted.bam",FALSE,134316136,127702646,6613490,0.9508,0.9128,129614478,4632797,0.0345094304521265,0.727340394632805,50381405,2880348,6172439,9833795,0,0,0,0,0,0,0,1.11152120509541e-05
"SRR1950817","SRR1950817","PASS","PASS","WARN","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","49","39.0","40.0","39.0","38.0",0.938218031702478,0.756696433029272,0.0101649386579145,0.0139502087020751,0.0172214068985187,"50","49","39.0","39.0","38.0","38.0",0.864951236032132,0.683126815755392,0.00958614553440579,0.0129202158273328,0.0158511650310429,-643.072778500803,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950817_accepted_hits.sorted.bam",FALSE,108156088,102482256,5673832,0.9475,0.9007,104153570,3108917,0.0289841964973272,0.715925284525109,39985239,2283914,4543189,9038792,0,0,0,0,0,0,0,1.33049098443553e-05
"SRR1950818","SRR1950818","PASS","PASS","WARN/PASS","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","49","39.0","40.0","40.0","38.0",0.95011213185945,0.804329338969029,0.0179520499550888,0.0246293064726325,0.0291135851739764,"50","49","39.0","40.0","39.0","38.0",0.908314733886125,0.764394478624503,0.0169140570500316,0.0232527835074129,0.0275254809211552,-643.072778500803,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950818_accepted_hits.sorted.bam",FALSE,160694740,154772986,5921754,0.9631,0.9266,156865849,5912374,0.036321652190539,0.738309680043627,61818307,3652411,7473486,10785305,0,0,0,0,0,0,0,1.06440960927642e-05
"SRR1950819","SRR1950819","PASS","PASS","WARN","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","48","39.0","40.0","40.0","38.0",0.940532806077036,0.764439717899881,0.0152404837687122,0.0191650718636595,0.0227026519659107,"50","49","39.0","39.0","38.0","38.0",0.876833470805961,0.700710475813972,0.0147862490355007,0.0183547170996102,0.0215725159496805,-643.072778500803,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950819_accepted_hits.sorted.bam",FALSE,110075246,104734608,5340638,0.9515,0.9104,106990338,2797185,0.0254781684071695,0.696207284297791,39627829,2245013,4838263,10208479,0,0,0,0,0,0,0,1.50399356977138e-05
"SRR1950820","SRR1950820","PASS","PASS","WARN/PASS","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","49","39.0","40.0","40.0","38.0",0.950142385096758,0.801374766154533,0.0121004501206285,0.0159491108058957,0.0186312781229464,"50","49","39.0","40.0","39.0","38.0",0.911022207347726,0.764532953322538,0.0115018548395699,0.0152027852791914,0.0178005353130158,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950820_accepted_hits.sorted.bam",FALSE,104244056,100739820,3504236,0.9664,0.9363,102986296,2739585,0.025912151065452,0.70801344856345,38416649,2254215,4626482,8962427,0,0,0,0,0,0,0,1.24685523716553e-05
"SRR1950821","SRR1950821","PASS","PASS","WARN/FAIL","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","49","39.0","40.0","40.0","38.0",0.942832420330749,0.77554404839637,0.0163894854474817,0.021476720604094,0.0255110554834741,"50","49","39.0","39.0","39.0","37.0",0.868361868713696,0.695411659252252,0.0151027771261036,0.0196215378224396,0.0230843419272409,-643.072778500803,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950821_accepted_hits.sorted.bam",FALSE,130876592,123690065,7186527,0.9451,0.9,124501369,4441884,0.0344483631105538,0.775024632620768,51990817,3051181,5198667,6842128,0,0,0,0,0,0,0,6.80889473231398e-06
"SRR1950822","SRR1950822","PASS","PASS","WARN/FAIL","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","49","39.0","40.0","39.0","38.0",0.941300479284019,0.769828277399881,0.011522750641571,0.0156078702436979,0.0191292131922471,"50","49","39.0","39.0","38.0","38.0",0.877237603534982,0.705079086483444,0.0108308429303621,0.0144908689059946,0.0175901330764642,-643.072778500803,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950822_accepted_hits.sorted.bam",FALSE,132676654,125660503,7016151,0.9471,0.9068,126538816,5928882,0.0447571905416519,0.729787186208303,50151957,2952782,6685282,8931324,0,0,0,0,0,0,0,1.12458223713982e-05
"SRR1950823","SRR1950823","PASS","PASS","WARN","PASS","FAIL","PASS","PASS","PASS","FAIL/WARN","PASS","PASS","FAIL","50","49","39.0","40.0","40.0","38.0",0.949201578995451,0.792512362928,0.0137551594736165,0.0180777632514129,0.0216645714457824,"50","49","39.0","40.0","38.0","38.0",0.899794655230872,0.741618226009658,0.0127819096891687,0.0166561624426689,0.0198742917459795,-643.072778500803,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950823_accepted_hits.sorted.bam",FALSE,128024688,121073315,6951373,0.9457,0.91,122987572,4050158,0.0318815362963428,0.758145172765595,49620061,2933418,5672585,7223223,0,0,0,0,0,0,0,8.12171512646871e-06
"SRR1950824","SRR1950824","PASS","PASS","WARN","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","49","39.0","40.0","40.0","38.0",0.943931670184952,0.781666358786258,0.0175624129756239,0.0228664740655957,0.02709301175068,"50","49","39.0","39.0","39.0","37.0",0.878795711101736,0.713506527842195,0.0167198906364226,0.0213694302397422,0.025136410285262,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950824_accepted_hits.sorted.bam",FALSE,114893096,108923283,5969813,0.948,0.9072,110443104,3942922,0.0344703119592598,0.73515566913722,43791686,2546510,5594806,7634907,0,0,0,0,0,0,0,9.88772160998779e-06
"SRR1950825","SRR1950825","PASS","PASS","WARN","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","49","39.0","40.0","40.0","38.0",0.944680417566829,0.775962197052499,0.0166170626212304,0.0205028939803503,0.0240156604490021,"50","49","39.0","39.0","38.0","38.0",0.880992033465739,0.709602887785592,0.0161562177565345,0.0196815242215045,0.0228463057923246,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950825_accepted_hits.sorted.bam",FALSE,127591744,121370343,6221401,0.9512,0.9111,123814074,4094526,0.0320113424742355,0.708595186994901,46959391,2740304,6182711,10388706,0,0,0,0,0,0,0,1.38630417928546e-05
"SRR1950826","SRR1950826","PASS","PASS","WARN/FAIL","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","49","39.0","40.0","40.0","38.0",0.941496197936427,0.772825585412764,0.0185914983960766,0.0237614785666583,0.0277548295143707,"50","49","39.0","39.0","39.0","37.0",0.876223637641178,0.70681920195331,0.0178272569072675,0.0223975723452937,0.0260485279725248,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950826_accepted_hits.sorted.bam",FALSE,105725744,99781962,5943782,0.9438,0.9043,101271062,3740247,0.0356175638187693,0.727670904393765,39693587,2286303,5168868,7400059,0,0,0,0,0,0,0,1.31759319206904e-05
"SRR1950827","SRR1950827","PASS","PASS","WARN/FAIL","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","49","39.0","40.0","39.0","38.0",0.942964027947384,0.773817571024255,0.0129519306480749,0.0170613368933168,0.0206242129678718,"50","49","39.0","39.0","38.0","38.0",0.879868517356891,0.708975938258278,0.0122030591546526,0.0158118270756011,0.0189575045465782,-643.072778500803,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950827_accepted_hits.sorted.bam",FALSE,95877598,91073848,4803750,0.9499,0.911,92375731,2701140,0.0284100641048652,0.756083819232898,37308234,2246958,4137635,5651218,0,0,0,0,0,0,0,7.96070915605386e-06
"SRR1950828","SRR1950828","PASS","PASS","WARN","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","49","39.0","40.0","39.0","38.0",0.939264701943653,0.758974279904654,0.0110455606781762,0.0150530655451679,0.0184712966174554,"50","49","39.0","39.0","38.0","38.0",0.866239855214099,0.684434777991209,0.01013285089089,0.0136485558239557,0.0167322743285729,-643.072778500803,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950828_accepted_hits.sorted.bam",FALSE,90280614,85436324,4844290,0.9463,0.9029,86841229,2389258,0.0267762519328175,0.758825118005825,35181865,2163410,3645438,5372888,0,0,0,0,0,0,0,8.92505272247506e-06
"SRR1950829","SRR1950829","PASS","PASS","WARN/FAIL","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","50","49","39.0","40.0","39.0","38.0",0.942048936798263,0.769350414465306,0.0142168094989582,0.0184523139605565,0.0221337650410473,"50","49","39.0","39.0","38.0","38.0",0.872603518866452,0.696979644746312,0.0136460677629981,0.0173926034274143,0.0206735339914419,-643.072778500803,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950829_accepted_hits.sorted.bam",FALSE,119844048,113549697,6294351,0.9475,0.9062,114872162,3669592,0.0309561135732815,0.761389733413262,46908939,2773155,5105972,6821563,0,0,0,0,0,0,0,7.35467497996491e-06
"SRR1950830","SRR1950830","PASS","PASS","WARN/PASS","PASS","FAIL","PASS","WARN/PASS","PASS","WARN","PASS","PASS","FAIL","50","49","39.0","40.0","39.0","38.0",0.939456099275614,0.781836267704154,0.00786444131598918,0.0105676974524427,0.0126902426210424,"50","49","39.0","40.0","39.0","38.0",0.904862370568997,0.753409332354426,0.00748558175407381,0.00998232837522102,0.0119402870128246,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Marchetto/HISAT2_out/SRR1950830_accepted_hits.sorted.bam",FALSE,128807624,125136169,3671455,0.9715,0.9438,125767897,4663711,0.035755987919738,0.779153662678415,51979824,3009774,4989590,6733999,0,0,0,0,0,0,0,7.13738468987506e-06
