"cell.number","FTC","FTC_simple","iPSC","NPC","Fetal_replicating","Fetal_quiescent","OPC","Neurons","Astrocytes","Oligodendrocytes","Microglia","Endothelial"
"C172",5.1,5,0.00706327251580774,0.451377118635391,9.08323986370303e-19,0.25156528195737,0,0.349989597808782,0.0177299213353789,-1.60980834224287e-18,0.0577722597855351,0.122082588813778
"C086",3,3,0.0158600830024077,0.475456737147039,-3.89170708054037e-18,0.396207775477836,1.24918073630523e-17,0.207281610821422,0.0419436022678907,-4.00363622171301e-20,0,0.158916685396131
"C188",4.1,4,0.0612852571685148,0.468464518368298,-7.40019987712473e-18,0.317642676992551,-2.34513807600619e-17,0.350656743237752,-6.23153248767736e-19,1.20895770183534e-17,0.0519755296473649,8.67361737988404e-19
"C189",3.1,3,0.00901316066892386,0.296289811866639,-1.02163010582237e-17,0.476383612250237,-3.92018566202337e-17,0.133183421595709,0,7.73142881692886e-18,0.0425983261931533,0.0899898906420555
"C107",3,3,0.0401914697240193,0.577383492525535,0.0561867490713353,0.322425191741366,-7.56324074509642e-18,0.0545199953397269,0,0.0168035725121226,0.00113032321332214,0.00808959206147649
"C174",5.1,5,0.107028995187095,0.278293001877736,-1.22323971535593e-17,0.459614844291634,-7.8356846963498e-18,0.310913214448284,-1.29265514106148e-18,0,0.0328670080058027,-9.10284707377106e-18
"C179",5.1,5,0.110050369071371,0.221520987957576,-5.90049073399347e-18,0.563858534891484,-2.56208319999878e-17,0.284972693310476,0,4.03039140146587e-18,0.101590409997658,0.0414560152476427
"C101",1,1,9.66101644099199e-20,0.722888320836396,0.00973134934029046,0.249032903021797,1.3748470587134e-17,3.42232987789222e-17,-3.89438279859331e-17,0,0,2.68757967839491e-18
"C156",2.1,2,0.0786948634979426,0.261272258660174,6.2855206425446e-19,0.537711847714004,-3.30971610502428e-17,-4.14473904111996e-19,0.0173881281109591,-1.50648194052304e-17,0,0.133224862403701
"C155",4.1,4,0.0430193863853931,0.396508224875859,-7.06352198782561e-18,0.388241469717463,1.41200244893173e-17,0.262486835709045,0,-2.79403708388379e-17,0.00760804247764979,0.0526810037388031
"C132",0,0,0.0263964659207976,0.543431861031139,3.33388919196749e-19,0.15746820602844,0.125833515472157,0,0.113929833139003,0.0189983668106489,0.0776280534282952,0.156997651904554
"C057",1,1,0.0277556980514744,0.440065470576684,-3.65220199069448e-18,0.272772173984122,-2.30202826205491e-18,0.281226117689048,0.0272283136889742,0,0.0660834398772099,0.0338953160001057
"C158",4.1,4,-1.21066642717013e-19,0.256007087169496,-1.27649167410611e-17,0.382574772019604,-4.86299754296669e-17,0.341993386528647,-1.84906493230142e-18,1.01963229954439e-17,0.00710873403754937,-4.33680868994202e-19
"C175",5.1,5,0.0351410748580282,0.345957861351556,1.46936296336221e-18,0.381354493862335,-5.48344348294463e-19,0.370821172627262,0.0108824347907916,6.77429782484184e-19,-1.59384182633067e-18,0
"C053",1.1,1,0.06650722185163,0.277405841676458,0.00890955206456429,0.478528065170522,-4.51847644945492e-19,0.116784897333854,0.0268631753671274,0,0,0.103156269632093
"C176",3,3,0.0929074260572097,0.139706375832637,-8.02430075103071e-18,0.449966024421369,-3.31308687546645e-17,0.415975101421338,0,5.79589005856051e-18,0.105537548472024,0.0419916101019729
"C129",0,0,-2.48957117996811e-20,0.547115003856392,1.88698574225103e-18,0.124274120492336,0.0246679084984891,9.00807523061372e-19,0.226944597123934,-1.72869868735892e-19,0,0.287598780844981
"C119",5.1,5,0,0.548392582336544,-4.11737391391421e-18,0.223278054898197,-1.25606747273582e-19,0.277217290979521,4.8515548936013e-18,-1.30403102613076e-17,0.0674361391483058,0.0828508092837458
"C013",4.1,4,0.184778592352142,0.165896508048312,-1.46425725537337e-17,0.428887884649731,-5.63121264465033e-17,0.314539329417122,-2.91342233155853e-18,1.28738124385628e-17,0,0.0919448331431118
"C115",5.1,5,0,0.594176546294118,6.37768830356409e-19,0.262228923899335,0.0248111396128156,0.332555332319158,0.0309728684983785,0.0138814721482333,0.0787964616581184,0.0097178986604231
"C016",3,3,0.0743674869612439,0.287275303604246,-6.32866751319409e-19,0.261653282809131,-1.08575901873865e-19,0.18751313319309,0.190441762749493,0,0.0197891323505346,0.266866446793595
"C014",5.1,5,0.0483627151025485,0.358942895086182,-1.20716494959834e-17,0.470380480607132,0,0.165359836159643,-4.94852447073385e-18,3.59015852789694e-18,0.0378626192728262,0.0139065472231674
"C110",5.1,5,0.0348855348597962,0.299183621673094,-9.76462704791758e-18,0.476585740858587,0.10192796321598,0.219654077053072,-2.18473750232491e-19,0,0.0428440578002332,-4.32873861656074e-20
"C196",0,0,0.0779702264512321,0.550892200909464,1.38092003828998e-17,0,0.0600485647042698,0.119197840165027,0.279019664460755,0.0499176185303609,0.0104696245538831,0.2138444707001
"C195",0,0,1.15803807330247e-19,0.666462203766257,9.12126471268094e-18,0,-6.96429183882406e-18,0.0244171717036472,0.263562097066616,-2.23355530963719e-17,1.33225303490683e-17,0.204047331102588
