"","SAMPLE_ID","FQCbasicStats","perBaseQual","perTileQual","perSeqQual","perBaseContent","GCcontent","Ncontent","SeqLengthDist","SeqDuplication","OverrepSeqs","AdapterContent","KmerContent","SeqLength_R1","percentGC_R1","phred20-21_R1","phred48-49_R1","phred76-77_R1","phred100_R1","phredGT30_R1","phredGT35_R1","Adapter50-51_R1","Adapter70-71_R1","Adapter88_R1","SeqLength_R2","percentGC_R2","phred20-21_R2","phred48-49_R2","phred76-77_R2","phred100_R2","phredGT30_R2","phredGT35_R2","Adapter50-51_R2","Adapter70-71_R2","Adapter88_R2","ERCCsumLogErr","bamFile","trimmed","numReads","numMapped","numUnmapped","overallMapRate","concordMapRate","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Ambiguity","gene_Unassigned_MultiMapping","gene_Unassigned_NoFeatures","gene_Unassigned_Unmapped","gene_Unassigned_MappingQuality","gene_Unassigned_FragmentLength","gene_Unassigned_Chimera","gene_Unassigned_Secondary","gene_Unassigned_Nonjunction","gene_Unassigned_Duplicate","rRNA_rate"
"C003","C003","PASS","PASS/FAIL","PASS","PASS","WARN/FAIL","FAIL","PASS","PASS","FAIL","WARN","PASS","FAIL","100","48","40.0","39.0","33.5","34.0",0.855943425194996,0.711112549959234,0,0,0,"100","48","40.0","38.0","34.0","30.0",0.755767302882304,0.519342114823569,0,0,6.08535390410139e-06,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C003_accepted_hits.sorted.bam",FALSE,32865796,7868934,24996862,0.2394,0.2226,7892292,104752,0.0130988400213879,0.4768305839058,2034525,107562,134358,1990322,0,0,0,0,0,0,0,9.83030437079908e-07
"C004","C004","PASS","PASS/FAIL","PASS","PASS","FAIL","FAIL","PASS","PASS","FAIL","WARN","PASS","FAIL","100","48","40.0","39.0","33.5","34.0",0.861000029850977,0.701552631633904,0,0,0,"100","48","40.0","38.0","34.0","30.0",0.777092556578965,0.543158432403568,0,6.14217639667256e-06,6.14217639667256e-06,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C004_accepted_hits.sorted.bam",FALSE,32561748,10953266,21608482,0.3364,0.3066,9137780,2014378,0.180626745065843,0.714949662841321,4320335,325571,213217,1183729,0,0,0,0,0,0,0,2.54609885576003e-06
"C013","C013","PASS","PASS/FAIL","PASS","PASS","FAIL","FAIL","PASS","PASS","FAIL","WARN","PASS","FAIL","100","46","40.0","39.0","34.0","34.0",0.88882558615877,0.731365301325387,2.76276463141022e-05,6.37561068786974e-05,9.77593638806693e-05,"100","46","40.0","38.0","34.0","32.0",0.801095227906405,0.579237662279481,2.97528498767254e-05,5.95056997534509e-05,0.000110510585256409,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C013_accepted_hits.sorted.bam",FALSE,47054316,24224583,22829733,0.5148,0.4731,23552330,1432918,0.0573505614192823,0.600301132252816,8085555,588621,784771,4010218,0,0,0,0,0,0,0,0.000149649591153607
"C014","C014","PASS","PASS/FAIL","PASS/WARN","PASS","FAIL","FAIL","PASS","PASS","FAIL","FAIL","PASS","FAIL","100","47","40.0","39.0","33.5","34.0",0.89116865938257,0.697804771176112,0,0,0,"100","47","40.0","38.0","34.0","25.0",0.760649539746673,0.462946597336532,0,0,1.04055554844509e-05,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C014_accepted_hits.sorted.bam",FALSE,38441004,1844160,36596844,0.048,0.0419,1651924,257522,0.134867390855777,0.615806245897727,660499,46736,72725,292616,0,0,0,0,0,0,0,1.66540751764953e-05
"C016","C016","PASS","PASS","FAIL","PASS","FAIL","WARN","PASS","PASS","FAIL","WARN","PASS","FAIL","91","44","40.0","40.0","34.0",NA,0.879278401164017,0.722135213054394,3.78556758415449e-05,3.78556758415449e-05,NA,"91","44","40.0","40.0","35.0",NA,0.885962085723572,0.767778255684654,3.78556758415449e-06,3.78556758415449e-06,NA,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C016_accepted_hits.sorted.bam",FALSE,52832236,36758898,16073338,0.6958,0.6289,27669814,10188336,0.26911869703089,0.643222844298332,13300607,648778,1263808,5464877,0,0,0,0,0,0,0,2.70664338853106e-06
"C022","C022","PASS","PASS","FAIL","PASS","FAIL","FAIL","PASS","PASS","FAIL","WARN","PASS","FAIL","91","45","40.0","40.0","34.0",NA,0.867089885075027,0.694393222978299,0.000173268841580756,0.000268076320936264,NA,"91","45","40.0","39.0","35.0",NA,0.838760789091151,0.682371046135804,0.000168365006441678,0.0003269223426052,NA,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C022_accepted_hits.sorted.bam",FALSE,61176608,32310500,28866108,0.5282,0.4764,30219158,3442485,0.102267289805195,0.672098656861636,12466471,873557,1655524,3553021,0,0,0,0,0,0,0,8.02151627353082e-06
"C024","C024","PASS","PASS","WARN","PASS","FAIL","FAIL","PASS","PASS","FAIL","WARN","PASS","FAIL","93","43","40.0","40.0","37.0",NA,0.91995613423258,0.857818674591468,0.000168968396072609,0.000196474879154196,NA,"93","43","40.0","40.0","37.0",NA,0.913465547304746,0.83682478362418,0.000168968396072609,0.0002200518646527,NA,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C024_accepted_hits.sorted.bam",FALSE,25448546,15386713,10061833,0.6046,0.5591,15841801,132168,0.00827396121777875,0.584897521050675,5053297,358786,733203,2494342,0,0,0,0,0,0,0,1.97890604886275e-07
"C028","C028","PASS","PASS","FAIL","PASS","FAIL","FAIL","PASS","PASS","FAIL","WARN","PASS","FAIL","91","43","40.0","39.5","34.5",NA,0.860491952518341,0.695134754729023,0,0,NA,"91","43","40.0","40.0","35.0",NA,0.864000888680521,0.732093006725387,0,0,NA,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C028_accepted_hits.sorted.bam",FALSE,47045028,29836235,17208793,0.6342,0.551,26590037,4174231,0.135684392035591,0.431512935541351,7437207,410583,1251042,8136357,0,0,0,0,0,0,0,8.06754471134123e-07
"C042","C042","PASS","PASS","WARN","PASS","FAIL","FAIL","PASS","PASS","FAIL","FAIL","PASS","FAIL","93","36","40.0","40.0","35.0",NA,0.885059230200625,0.733200308594229,1.11373693155006e-05,1.11373693155006e-05,NA,"93","36","40.0","37.0","37.0",NA,0.877692083145808,0.710926572326466,1.11373693155006e-05,1.11373693155006e-05,NA,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C042_accepted_hits.sorted.bam",FALSE,17957562,9977275,7980287,0.5556,0.4537,10113341,1037015,0.0930028601777378,0.394506888992339,2727077,194702,1892675,2098168,0,0,0,0,0,0,0,5.5003947449962e-06
"C044","C044","PASS","PASS","WARN","PASS","FAIL","WARN","PASS","PASS","FAIL","WARN","PASS","FAIL","93","46","40.0","40.0","37.0",NA,0.942483513812343,0.895828276928794,6.15696138686294e-06,1.23139227737259e-05,NA,"93","46","40.0","40.0","37.0",NA,0.925618857738359,0.85121770535221,6.15696138686294e-06,2.46278455474518e-05,NA,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C044_accepted_hits.sorted.bam",FALSE,32483556,23523452,8960104,0.7242,0.6742,17323470,6902580,0.284923873268651,0.71580614927033,9294478,585646,885203,2219303,0,0,0,0,0,0,0,4.19603984215144e-06
