"","SAMPLE_ID","FQCbasicStats","perBaseQual","perTileQual","perSeqQual","perBaseContent","GCcontent","Ncontent","SeqLengthDist","SeqDuplication","OverrepSeqs","AdapterContent","KmerContent","SeqLength_R1","percentGC_R1","phred20-21_R1","phred48-49_R1","phred76-77_R1","phred100_R1","phredGT30_R1","phredGT35_R1","Adapter50-51_R1","Adapter70-71_R1","Adapter88_R1","SeqLength_R2","percentGC_R2","phred20-21_R2","phred48-49_R2","phred76-77_R2","phred100_R2","phredGT30_R2","phredGT35_R2","Adapter50-51_R2","Adapter70-71_R2","Adapter88_R2","ERCCsumLogErr","bamFile","trimmed","numReads","numMapped","numUnmapped","overallMapRate","concordMapRate","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Ambiguity","gene_Unassigned_MultiMapping","gene_Unassigned_NoFeatures","gene_Unassigned_Unmapped","gene_Unassigned_MappingQuality","gene_Unassigned_FragmentLength","gene_Unassigned_Chimera","gene_Unassigned_Secondary","gene_Unassigned_Nonjunction","gene_Unassigned_Duplicate","rRNA_rate"
"C045","C045","PASS","PASS","WARN","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN","PASS","FAIL","93","45","40.0","40.0","37.0",NA,0.956797458636951,0.924777779345631,0,0,NA,"93","46","40.0","40.0","37.0",NA,0.939425112982994,0.876629070217434,0,0,NA,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C045_accepted_hits.sorted.bam",FALSE,26646488,21952915,4693573,0.8239,0.78,19401653,3192385,0.141293247360211,0.682679680659258,8087386,539755,673932,2545458,0,0,0,0,0,0,0,7.41896083604764e-07
"C046","C046","PASS","PASS","WARN","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN","PASS","FAIL","93","46","40.0","40.0","37.0",NA,0.952754493690115,0.911877726095402,0,0,NA,"93","46","40.0","40.0","37.0",NA,0.938775200725329,0.879714777237439,0,0,NA,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C046_accepted_hits.sorted.bam",FALSE,29938424,25494464,4443960,0.8516,0.8155,23469464,2810140,0.106932357123798,0.757585912021549,10343150,677212,758226,1874187,0,0,0,0,0,0,0,7.25117589902496e-06
"C053","C053","PASS","FAIL","FAIL","PASS","FAIL","FAIL","PASS","PASS","FAIL","WARN","PASS","FAIL","100","41","37.0","33.0","33.0","27.0",0.534746998981998,0.361388152142558,1.82323255911687e-05,2.88678488526838e-05,3.3425930250476e-05,"100","41","37.0","33.0","33.0","27.0",0.552909251668478,0.354585489141237,2.73484883867531e-05,3.64646511823374e-05,3.95033721141989e-05,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C053_accepted_hits.sorted.bam",FALSE,65817166,38502180,27314986,0.585,0.489,35546259,5036615,0.124106907756213,0.621754452564513,14773349,1262708,2506193,5218495,0,0,0,0,0,0,0,1.37409601573753e-05
"C055","C055","PASS","FAIL","FAIL","PASS","FAIL","WARN","PASS","PASS","FAIL","WARN","PASS","FAIL","100","43","37.0","37.0","33.0","33.0",0.656448358344581,0.476697665707782,1.329660544976e-05,1.994490817464e-05,3.988981634928e-05,"100","42","37.0","37.0","33.0","27.0",0.652372283943957,0.423536374493042,1.994490817464e-05,3.988981634928e-05,4.653811907416e-05,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C055_accepted_hits.sorted.bam",FALSE,30082866,20483253,9599613,0.6809,0.5921,19377450,1678112,0.0796992262661999,0.687236783575691,8152758,593280,623938,2493123,0,0,0,0,0,0,0,4.7836572605246e-06
"C057","C057","PASS","PASS","WARN","PASS","FAIL","WARN","PASS","PASS","FAIL","WARN","PASS","FAIL","93","45","40.0","40.0","37.0",NA,0.923941195989788,0.872850643089364,0.0011023687762747,0.0017227301523969,NA,"93","45","40.0","40.0","37.0",NA,0.916532697619129,0.843593150942626,0.00126303790965887,0.00182314836076201,NA,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C057_accepted_hits.sorted.bam",FALSE,44812590,34458298,10354292,0.7689,0.7224,23492863,11822792,0.334774818702924,0.788132178429599,14782907,1041321,1068842,1863818,0,0,0,0,0,0,0,1.21762248791797e-06
"C060","C060","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN/PASS","PASS","FAIL","101","44","40.0","40.0","37.0","37.0",0.960557505578788,0.926219667479172,0.000200803307726581,0.000236239185560683,0.00028348702267282,"101","45","40.0","40.0","37.0","37.0",0.941973513807472,0.879392808595704,4.72478371121366e-05,7.08717556682049e-05,0.000165367429892478,-643.072778500803,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C060_accepted_hits.sorted.bam",FALSE,8465996,7543105,922891,0.891,0.8528,6536695,1190947,0.154115188048308,0.654568267882877,2630306,166993,174593,1046491,0,0,0,0,0,0,0,3.57372868403904e-05
"C061","C061","PASS","PASS","PASS/WARN","PASS","FAIL","FAIL","PASS","PASS","FAIL","FAIL","PASS","FAIL","101","46","40.0","40.0","37.0","37.0",0.964122720115172,0.909068494314166,0,0,0,"101","46","40.0","40.0","37.0","33.0",0.909961781749259,0.731443527564192,0,0,0,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C061_accepted_hits.sorted.bam",FALSE,9466158,4185980,5280178,0.4422,0.4218,3706707,580708,0.135444784328086,0.653956522692127,1461927,106802,97758,569024,0,0,0,0,0,0,0,4.71979791056599e-05
"C063","C063","PASS","PASS","PASS/WARN","PASS","FAIL","FAIL","PASS","PASS","FAIL","FAIL","PASS","FAIL","101","47","40.0","40.0","37.0","37.0",0.939046084114671,0.894672140569436,2.41993933212094e-05,2.41993933212094e-05,2.41993933212094e-05,"101","47","40.0","40.0","37.0","37.0",0.901942364304927,0.798252561808275,0,0,0,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C063_accepted_hits.sorted.bam",FALSE,8264670,3082715,5181955,0.373,0.3387,2715398,419486,0.133812287791191,0.463650761094783,795723,52495,69818,798176,0,0,0,0,0,0,0,0
"C086","C086","PASS","PASS","PASS/WARN","PASS","FAIL","FAIL","PASS","PASS","FAIL","WARN","FAIL","FAIL","101","46","40.0","40.0","37.0","37.0",0.917982569803772,0.845887813962543,0,0,0,"101","46","40.0","40.0","37.0","33.0",0.854694426638391,0.711217688600073,0,0,0,-623.141208488785,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C086_accepted_hits.sorted.bam",TRUE,8107683,4817184,3290499,0.5942,0.6118,4091250,840979,0.170506884412707,0.708271659773457,1841779,131890,122019,504697,0,0,0,0,0,0,0,9.77315953759924e-06
"C098","C098","PASS","PASS","PASS/WARN","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN/PASS","PASS","FAIL","101","45","40.0","40.0","37.0","37.0",0.951109020690846,0.918864441519774,0,0,0,"101","45","40.0","40.0","37.0","37.0",0.938763209562234,0.87459233208915,0,0,0,-344.756698827924,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C098_accepted_hits.sorted.bam",FALSE,11587250,10327538,1259712,0.8913,0.8423,7966933,2623656,0.247734663293987,0.677497813458557,3754596,231531,262880,1292850,0,0,0,0,0,0,0,0
"C099","C099","PASS","PASS","PASS/WARN","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN/PASS","PASS","FAIL","101","44","40.0","40.0","37.0","37.0",0.945905526886172,0.911631984834922,0,0,1.68831024118862e-05,"101","45","40.0","40.0","37.0","37.0",0.932933395147999,0.86573898521074,0,0,0,-504.190470792151,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C099_accepted_hits.sorted.bam",FALSE,11846164,10413696,1432468,0.8791,0.829,8870065,1779327,0.167082496352843,0.675664933470593,3794289,248805,250881,1321662,0,0,0,0,0,0,0,9.27710040010131e-05
"C100","C100","PASS","PASS","PASS/WARN","PASS","FAIL","WARN","PASS","PASS","FAIL","FAIL","PASS","FAIL","101","46","40.0","40.0","37.0","37.0",0.936252728147714,0.892319961534885,0,0,0,"101","46","40.0","40.0","37.0","37.0",0.906772234323516,0.800846609640362,2.14266460913726e-05,2.14266460913726e-05,2.14266460913726e-05,-328.881033509543,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C100_accepted_hits.sorted.bam",FALSE,9334172,6267246,3066926,0.6714,0.6303,4441061,1927702,0.302680756058908,0.768434160063796,2586325,143028,103211,533144,0,0,0,0,0,0,0,0
"C101","C101","PASS","PASS","PASS/WARN","PASS","FAIL","WARN","PASS","PASS","FAIL","WARN","PASS","FAIL","101","45","40.0","40.0","37.0","37.0",0.954545077103857,0.919244632275768,0,0,0,"101","45","40.0","40.0","37.0","37.0",0.923327549699183,0.842195425039177,0,0,0,-411.342993770671,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C101_accepted_hits.sorted.bam",FALSE,10356810,8245692,2111118,0.7962,0.7591,7848834,623458,0.0735878791713034,0.656050579045947,2897780,263883,212377,1042967,0,0,0,0,0,0,0,0
"C105","C105","PASS","PASS","PASS/WARN","PASS","FAIL","WARN","PASS","PASS","FAIL","WARN","PASS","FAIL","101","44","40.0","40.0","37.0","37.0",0.93355459357196,0.897710615436828,1.80522359499448e-05,1.80522359499448e-05,2.70783539249171e-05,"101","44","40.0","40.0","37.0","37.0",0.918061803634998,0.847087813296555,7.2208943799779e-05,7.2208943799779e-05,7.2208943799779e-05,-555.732572967826,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C105_accepted_hits.sorted.bam",FALSE,11078960,9199990,1878970,0.8304,0.7868,9078157,343397,0.0364480212075418,0.662922478967612,3280747,202464,226434,1239270,0,0,0,0,0,0,0,6.09617260946973e-07
"C107","C107","PASS","PASS","PASS/WARN","PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","101","45","40.0","40.0","37.0","37.0",0.966065591687669,0.937187456293666,2.31556737421143e-05,6.9467021226343e-05,6.9467021226343e-05,"101","46","40.0","40.0","37.0","37.0",0.940650387301799,0.875362965185908,4.63113474842287e-05,4.63113474842287e-05,4.63113474842287e-05,-463.117506059038,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C107_accepted_hits.sorted.bam",FALSE,8637192,7593008,1044184,0.8791,0.8393,6076425,1676955,0.216286961299459,0.727170871815188,2936825,181102,158234,762539,0,0,0,0,0,0,0,0
"C110","C110","PASS","PASS","PASS/FAIL","PASS","FAIL","FAIL","PASS","PASS","FAIL","FAIL","PASS","FAIL","101","46","40.0","40.0","37.0","35.0",0.956702501291761,0.893802025296809,0,0,0,"101","46","40.0","37.0","33.0","33.0",0.880894282119685,0.657282977058723,0,0,0,-374.04353259909,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C110_accepted_hits.sorted.bam",FALSE,9123206,1888701,7234505,0.207,0.1923,1636390,301969,0.155785899309674,0.598178566157336,616033,38938,47967,326910,0,0,0,0,0,0,0,1.62328966143048e-06
"C111","C111","PASS","PASS","PASS/WARN","PASS","FAIL","WARN","PASS","PASS","FAIL","WARN","PASS","FAIL","101","45","40.0","40.0","37.0","37.0",0.938978344219604,0.900422084045921,0,0,0,"101","45","40.0","40.0","37.0","37.0",0.90760797379053,0.826047800265328,0,0,0,-378.101204151426,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C111_accepted_hits.sorted.bam",FALSE,12618340,10171664,2446676,0.8061,0.756,4801450,5574096,0.537233992312308,0.842476600660724,4607379,203033,226094,432345,0,0,0,0,0,0,0,3.86336787140802e-05
"C115","C115","PASS","PASS","PASS/WARN","PASS","WARN/FAIL","FAIL","PASS","PASS","FAIL","WARN","PASS","FAIL","101","45","40.0","40.0","37.0","37.0",0.943673312491982,0.901552507524029,0,0,0,"101","45","40.0","40.0","37.0","37.0",0.904075041883185,0.804909213767957,1.47957907159077e-05,2.95915814318153e-05,2.95915814318153e-05,-325.125464431718,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C115_accepted_hits.sorted.bam",FALSE,13517358,10036794,3480564,0.7425,0.7026,8008153,2300305,0.223147341726571,0.701292453097176,3791349,234502,278555,1101825,0,0,0,0,0,0,0,3.74536873287054e-05
"C116","C116","PASS","PASS","PASS/WARN","PASS","FAIL","FAIL","PASS","PASS","FAIL","FAIL","PASS","FAIL","101","47","40.0","40.0","37.0","35.0",0.966018995352612,0.897188128137219,0,0,0,"101","47","40.0","37.0","33.0","33.0",0.876610366247947,0.616311733911904,0,0,0,-165.530667461271,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C116_accepted_hits.sorted.bam",FALSE,11177892,1522536,9655356,0.1362,0.1294,1125361,427971,0.275518047654977,0.76428539736846,620132,37609,30155,123492,0,0,0,0,0,0,0,0.000130617352434643
"C119","C119","PASS","PASS","PASS/WARN","PASS","FAIL","WARN","PASS","PASS","FAIL","WARN","PASS","FAIL","101","45","40.0","40.0","37.0","37.0",0.953133015590451,0.916807437106961,0,0,0,"101","46","40.0","40.0","37.0","37.0",0.927631381963782,0.859374367712533,0,0,0,-221.016890364601,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C119_accepted_hits.sorted.bam",FALSE,11021490,7095686,3925804,0.6438,0.6091,5652241,1631706,0.224013985823895,0.76755169450773,2920941,191024,183487,510078,0,0,0,0,0,0,0,3.01272774766762e-05
"C124","C124","PASS","PASS","PASS/FAIL","PASS","FAIL","WARN/FAIL","PASS","PASS","FAIL","WARN","PASS","FAIL","101","45","40.0","40.0","33.0","35.0",0.930115684551305,0.861313514097454,1.61357637343385e-05,1.61357637343385e-05,1.61357637343385e-05,"101","46","40.0","40.0","37.0","35.0",0.919231224445488,0.837553763356278,8.06788186716926e-06,8.06788186716926e-06,8.06788186716926e-06,-150.713708508253,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C124_accepted_hits.sorted.bam",FALSE,24789654,12659482,12130172,0.5107,0.4743,9509345,3400430,0.263399633223662,0.73931481071909,5097705,350000,251550,1195920,0,0,0,0,0,0,0,0
"C125","C125","PASS","PASS","PASS/FAIL","PASS","FAIL","FAIL","PASS","PASS","FAIL","FAIL","PASS","FAIL","101","46","40.0","40.0","33.0","35.0",0.931140053951551,0.848739293685565,0,0,6.69955926949346e-06,"101","46","40.0","40.0","37.0","35.0",0.901425029754418,0.783055072722041,6.69955926949346e-06,6.69955926949346e-06,6.69955926949346e-06,-91.0310714025531,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C125_accepted_hits.sorted.bam",FALSE,29852710,1298966,28553744,0.0435,0.0405,867602,470169,0.351457013195831,0.724902628505898,518338,27482,40282,128943,0,0,0,0,0,0,0,0
"C129","C129","PASS","PASS","WARN","PASS","FAIL","FAIL","PASS","PASS","FAIL","FAIL","PASS","FAIL","92","47","40.0","39.0","32.5",NA,0.845483289359475,0.697819251424667,0,0,NA,"92","47","40.0","39.0","34.5",NA,0.822094761208101,0.662667285402019,0,0,NA,-251.774914175532,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C129_accepted_hits.sorted.bam",FALSE,31341348,4777040,26564308,0.1524,0.1419,4693735,201756,0.0412126178967544,0.828121788941238,2167945,153429,122916,173616,0,0,0,0,0,0,0,0
"C130","C130","PASS","PASS","PASS/FAIL","PASS","FAIL","WARN/FAIL","PASS","PASS","FAIL","WARN","PASS","FAIL","101","47","40.0","40.0","35.0","35.0",0.944383976572854,0.877584635128262,6.66149512595055e-06,6.66149512595055e-06,6.66149512595055e-06,"101","47","40.0","40.0","37.0","35.0",0.925476122037258,0.839076929943387,0,0,0,-217.043113323038,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C130_accepted_hits.sorted.bam",FALSE,30023290,16924049,13099241,0.5637,0.5421,16609665,727642,0.0419697245944829,0.84303354796161,7577661,482589,389056,539258,0,0,0,0,0,0,0,0
"C132","C132","PASS","PASS","PASS/FAIL","PASS","FAIL","FAIL","PASS","PASS","FAIL","WARN","PASS","FAIL","101","47","40.0","40.0","33.0","35.0",0.933216946281736,0.860254695000718,0,0,0,"101","47","40.0","40.0","37.0","35.0",0.917259605235727,0.82586995312649,5.95309886775631e-06,5.95309886775631e-06,5.95309886775631e-06,-180.932060212296,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C132_accepted_hits.sorted.bam",FALSE,33595948,7704127,25891821,0.2293,0.22,7730855,215679,0.0271412668718211,0.803190801519383,3322965,220535,238022,355683,0,0,0,0,0,0,0,0
"C133","C133","PASS","PASS","PASS/FAIL","PASS","FAIL","WARN","PASS","PASS","FAIL","WARN","PASS","FAIL","101","44","40.0","40.0","33.0","35.0",0.911516648470022,0.830725275748925,0,0,0,"101","45","40.0","40.0","37.0","35.0",0.898203741330157,0.802980625566114,7.20992333472221e-06,7.20992333472221e-06,7.20992333472221e-06,-217.697364468349,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C133_accepted_hits.sorted.bam",FALSE,27739546,14436736,13302810,0.5204,0.4859,11693300,3104509,0.209795179813444,0.670569319593656,5275855,325277,368255,1898338,0,0,0,0,0,0,0,0
"C155","C155","PASS","PASS","PASS/FAIL","PASS","FAIL","FAIL","PASS","PASS","FAIL","WARN","PASS","FAIL","101","45","40.0","40.0","35.0","35.0",0.936831734806818,0.872043457600322,8.19015173566515e-06,8.19015173566515e-06,8.19015173566515e-06,"101","45","40.0","40.0","37.0","35.0",0.921976519490186,0.842179215917462,0,0,0,-152.691830208652,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C155_accepted_hits.sorted.bam",FALSE,24419572,7883648,16535924,0.3228,0.3024,6312382,1754889,0.217531926223874,0.700508481828561,2995969,186602,182222,912056,0,0,0,0,0,0,0,2.0026909490719e-06
"C156","C156","PASS","PASS","WARN","PASS","FAIL","FAIL","PASS","PASS","FAIL","FAIL","PASS","FAIL","92","46","40.0","39.0","33.0",NA,0.824828249595971,0.683071663970974,0,0,NA,"92","46","40.0","39.0","35.0",NA,0.804286965028767,0.653032631828624,0,0,NA,-157.992431023823,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C156_accepted_hits.sorted.bam",FALSE,30742868,2948819,27794049,0.0959,0.0868,2534324,503014,0.16561014941373,0.659099308855344,1094963,65007,94280,407052,0,0,0,0,0,0,0,9.13272868580947e-07
"C158","C158","PASS","PASS","WARN","PASS","FAIL","FAIL","PASS","PASS","FAIL","FAIL","PASS","FAIL","92","46","40.0","39.0","32.5",NA,0.843106072841953,0.697220934701251,0,0,NA,"92","46","40.0","38.0","34.0",NA,0.791934522111613,0.626907855885991,0,0,NA,-133.557329510055,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C158_accepted_hits.sorted.bam",FALSE,34040438,882908,33157530,0.0259,0.0238,580295,326326,0.359936511508116,0.822216559990216,403363,24799,25426,36992,0,0,0,0,0,0,0,0
