"","SAMPLE_ID","FQCbasicStats","perBaseQual","perTileQual","perSeqQual","perBaseContent","GCcontent","Ncontent","SeqLengthDist","SeqDuplication","OverrepSeqs","AdapterContent","KmerContent","SeqLength","percentGC","phred20-21","phred48-49","phred76-77","phred100","phredGT30","phredGT35","Adapter50-51","Adapter70-71","Adapter88","bamFile","numReads","numMapped","numUnmapped","overallMapRate","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Ambiguity","gene_Unassigned_MultiMapping","gene_Unassigned_NoFeatures","gene_Unassigned_Unmapped","gene_Unassigned_MappingQuality","gene_Unassigned_FragmentLength","gene_Unassigned_Chimera","gene_Unassigned_Secondary","gene_Unassigned_Nonjunction","gene_Unassigned_Duplicate","rRNA_rate"
"SRR4047255","SRR4047255","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN","WARN","FAIL","100","47","41.0","40.0","35.0","35.0",0.950694774851404,0.858375338227093,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047255_accepted_hits.sorted.bam",17051783,15216050,1835733,0.8923,15352690,390724,0.0248182509841893,0.517053131748802,8150778,689934,921571,6001625,0,0,0,0,0,0,0,4.17138094056788e-06
"SRR4047256","SRR4047256","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","100","45","41.0","40.0","36.0","35.0",0.952951278686622,0.866415475684466,3.38252723086635e-06,6.76505446173269e-06,6.76505446173269e-06,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047256_accepted_hits.sorted.bam",14781847,13574529,1207318,0.9183,13781081,309035,0.0219327505891364,0.53348330893076,7527370,529692,885298,5167491,0,0,0,0,0,0,0,3.83932236624478e-05
"SRR4047257","SRR4047257","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN","WARN","FAIL","100","47","41.0","40.0","35.0","35.0",0.948386601905715,0.853937209951077,0,0,1.02409364640013e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047257_accepted_hits.sorted.bam",19529464,17207047,2322417,0.8811,16662836,1213623,0.0678894517085291,0.698351793539602,12513888,1090563,1175268,3139456,0,0,0,0,0,0,0,0
"SRR4047258","SRR4047258","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","WARN","WARN","FAIL","100","46","41.0","40.0","35.0","35.0",0.953777873924454,0.867242092636987,0,6.85891002591571e-06,6.85891002591571e-06,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047258_accepted_hits.sorted.bam",14579576,12973591,1605985,0.8898,12829011,565292,0.0422039131114176,0.614647487391917,8255859,676490,762133,3737378,0,0,0,0,0,0,0,4.04561172859178e-05
"SRR4047259","SRR4047259","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN","PASS","FAIL","100","49","41.0","40.0","35.0","35.0",0.95088876859841,0.853289260646685,0.000711216864317389,0.000889021080396737,0.00115217132019417,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047259_accepted_hits.sorted.bam",14060409,12377845,1682564,0.8803,12500132,382775,0.0297118499729913,0.680851368298658,8802039,828879,930153,2366918,0,0,0,0,0,0,0,0
"SRR4047260","SRR4047260","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","100","46","41.0","40.0","35.5","35.0",0.972118894972618,0.902221923109998,1.6023869155494e-05,3.20477383109881e-05,3.73890280294861e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047260_accepted_hits.sorted.bam",18722070,17418760,1303310,0.9304,17597801,841573,0.0456399984077551,0.696155350473209,12854354,1155143,1766914,2688367,0,0,0,0,0,0,0,7.93505453482921e-06
"SRR4047261","SRR4047261","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","100","43","41.0","41.0","36.0","35.0",0.962425132369204,0.893494193647331,3.28902607990943e-05,8.45749563405281e-05,0.000150355477938717,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047261_accepted_hits.sorted.bam",10641448,9893005,748443,0.9297,9747835,510656,0.0497788612379735,0.619188774974482,6362808,464699,645705,2802827,0,0,0,0,0,0,0,1.25730652252905e-06
"SRR4047262","SRR4047262","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","100","43","41.0","41.0","36.0","35.0",0.962687738370942,0.89439332831057,0.000558259576235377,0.000625093469164965,0.000746967038624801,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047262_accepted_hits.sorted.bam",12718098,11841181,876917,0.931,11846805,434334,0.0353659379638973,0.535427807975096,6594444,481113,797902,4442756,0,0,0,0,0,0,0,1.98652077415473e-05
"SRR4047263","SRR4047263","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","WARN","PASS","FAIL","100","44","41.0","41.0","36.0","35.0",0.95462457948015,0.887880728353495,0,0,8.62781801792101e-06,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047263_accepted_hits.sorted.bam",11590416,10188747,1401669,0.8791,10335285,152675,0.0145571684102533,0.59606611081791,6264901,493474,535409,3216629,0,0,0,0,0,0,0,3.19238883423697e-07
"SRR4047264","SRR4047264","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","100","43","41.0","41.0","36.0","35.0",0.962002457712003,0.892151360331954,0.000351373610948743,0.000424576446563065,0.000549021267107411,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047264_accepted_hits.sorted.bam",13660673,12768852,891821,0.9347,12742932,493254,0.0372655687975373,0.591225886027161,7836222,578047,821755,4018169,0,0,0,0,0,0,0,3.1903128829173e-05
"SRR4047265","SRR4047265","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","100","43","41.0","41.0","36.0","35.0",0.964301167168759,0.896530845617482,9.48483056557355e-05,0.000137961171862888,0.000137961171862888,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047265_accepted_hits.sorted.bam",11597466,10830635,766831,0.9339,10852510,369337,0.0329123182663246,0.592185006952955,6656908,475629,685697,3423030,0,0,0,0,0,0,0,0
"SRR4047266","SRR4047266","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","100","43","41.0","41.0","36.0","35.0",0.961648868534078,0.894366809617183,6.262957611945e-05,7.15766584222286e-05,0.000107364987633343,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047266_accepted_hits.sorted.bam",11176828,10451793,725035,0.9351,10634876,172221,0.0159359169257017,0.525249789478857,5686100,462696,633481,4043239,0,0,0,0,0,0,0,7.80851550271715e-05
"SRR4047267","SRR4047267","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","100","43","41.0","41.0","36.0","35.0",0.951589438169413,0.872524609369462,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047267_accepted_hits.sorted.bam",12202771,11382172,820599,0.9328,11568122,252688,0.021376538494401,0.484652310584818,5745305,454381,752520,4902282,0,0,0,0,0,0,0,0
"SRR4047268","SRR4047268","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","100","44","41.0","40.0","36.0","35.0",0.952195141949293,0.869898565662382,9.35982888735221e-05,0.000116997861091903,0.000159117091084988,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047268_accepted_hits.sorted.bam",10683956,9892227,791729,0.9259,9834581,479229,0.046464788472931,0.640309635640315,6618501,512243,747248,2458415,0,0,0,0,0,0,0,1.07275046116938e-05
"SRR4047269","SRR4047269","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","100","44","41.0","41.0","36.0","35.0",0.954971929957883,0.876997428565893,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047269_accepted_hits.sorted.bam",11922141,11048481,873660,0.9267,10890357,530520,0.0464517742376527,0.571581869867975,6545747,500888,679793,3725557,0,0,0,0,0,0,0,1.2221676150942e-06
"SRR4047270","SRR4047270","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","100","44","41.0","40.0","36.0","35.0",0.953287819924432,0.871364633799629,0,0,9.49897919220111e-06,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047270_accepted_hits.sorted.bam",10527447,9837813,689634,0.9345,9965537,260109,0.0254369259409137,0.615441746684261,6307660,502389,674505,2764442,0,0,0,0,0,0,0,3.26587038616539e-05
"SRR4047271","SRR4047271","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","100","43","41.0","40.5","36.0","35.0",0.954504763259801,0.873247362902781,8.58136775674637e-06,2.57441032702391e-05,2.57441032702391e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047271_accepted_hits.sorted.bam",11653154,10822394,830760,0.9287,10906733,260584,0.0233345216223378,0.487668298743821,5458818,399125,599906,4735862,0,0,0,0,0,0,0,4.98276366788561e-05
"SRR4047272","SRR4047272","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","100","43","41.0","40.5","36.0","35.0",0.95511707478842,0.874416243051104,8.14606148924178e-06,1.62921229784836e-05,1.62921229784836e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047272_accepted_hits.sorted.bam",12275871,11539519,736352,0.94,11530322,385947,0.0323882416551691,0.50960765420934,6087055,449646,675729,4732161,0,0,0,0,0,0,0,3.8442235202409e-05
"SRR4047273","SRR4047273","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","100","43","41.0","41.0","36.0","35.0",0.962248994522652,0.890145363356612,0.000153940649721906,0.000237908276842946,0.000307881299443812,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047273_accepted_hits.sorted.bam",14291222,13386987,904235,0.9367,13298500,468560,0.0340348629264345,0.529541924934304,7309452,535866,689047,5268984,0,0,0,0,0,0,0,2.90035422628126e-05
"SRR4047274","SRR4047274","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","100","43","41.0","41.0","36.0","35.0",0.957326420687129,0.885401431987206,0.000235663749306559,0.000365278811425167,0.000424194748751807,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047274_accepted_hits.sorted.bam",16973336,15687599,1285737,0.9242,15731280,413767,0.0256281074932764,0.578249514452555,9354103,682443,813182,5326858,0,0,0,0,0,0,0,3.89134051656262e-05
"SRR4047275","SRR4047275","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","100","44","41.0","41.0","36.0","35.0",0.963273993238567,0.889630981641406,0.00012094864863067,0.000153705574301476,0.000171343918893449,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047275_accepted_hits.sorted.bam",19843132,18592460,1250672,0.937,18522671,659799,0.034395935455653,0.629565100387665,12108984,915575,1071434,5137894,0,0,0,0,0,0,0,3.41894910423533e-05
"SRR4047276","SRR4047276","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","100","43","41.0","41.0","36.0","35.0",0.960831986597896,0.888959743611922,6.06979352079891e-06,6.06979352079891e-06,6.06979352079891e-06,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047276_accepted_hits.sorted.bam",16475025,15190020,1285005,0.922,15183748,556522,0.0353565726636201,0.640530918094609,10108727,724435,981264,3967368,0,0,0,0,0,0,0,1.97848848821419e-07
"SRR4047277","SRR4047277","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","100","44","41.0","41.0","36.0","35.0",0.960283905027931,0.887412544363723,0.000242249511867234,0.000334874325228235,0.000441749109875544,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047277_accepted_hits.sorted.bam",7017558,6545143,472415,0.9327,6484371,250008,0.0371241357220911,0.620222342950801,4188635,313512,348175,1903119,0,0,0,0,0,0,0,1.43244756346638e-06
"SRR4047278","SRR4047278","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","100","47","41.0","40.0","35.0","35.0",0.955689133798448,0.862663285344444,7.75387712163847e-05,0.00012492357584862,0.000142154413896705,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047278_accepted_hits.sorted.bam",23214193,21727598,1486595,0.936,21818900,1321786,0.0571195685382879,0.746596389860155,17295590,1587205,2468333,1814789,0,0,0,0,0,0,0,1.56109158461781e-06
