"","SAMPLE_ID","FQCbasicStats","perBaseQual","perTileQual","perSeqQual","perBaseContent","GCcontent","Ncontent","SeqLengthDist","SeqDuplication","OverrepSeqs","AdapterContent","KmerContent","SeqLength","percentGC","phred20-21","phred48-49","phred76-77","phred100","phredGT30","phredGT35","Adapter50-51","Adapter70-71","Adapter88","bamFile","numReads","numMapped","numUnmapped","overallMapRate","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Ambiguity","gene_Unassigned_MultiMapping","gene_Unassigned_NoFeatures","gene_Unassigned_Unmapped","gene_Unassigned_MappingQuality","gene_Unassigned_FragmentLength","gene_Unassigned_Chimera","gene_Unassigned_Secondary","gene_Unassigned_Nonjunction","gene_Unassigned_Duplicate","rRNA_rate"
"SRR4047245","SRR4047245","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","100","46","41.0","40.0","35.0","35.0",0.952555186411421,0.854063413447026,0.000105546339517243,0.000128163412270938,0.00018093658202956,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047245_accepted_hits.sorted.bam",13264316,12254774,1009542,0.9239,12183049,598444,0.046821134275941,0.654863956566731,8381869,680532,926005,2810999,0,0,0,0,0,0,0,1.83729905585497e-05
"SRR4047246","SRR4047246","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","100","43","41.0","40.0","36.0","35.0",0.947720966278467,0.854345292580266,0.000379895604687832,0.000589837912541634,0.000759791209375664,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047246_accepted_hits.sorted.bam",15004122,13610046,1394076,0.9071,13415667,692567,0.0490895600399029,0.545413917308424,7710564,542836,873773,5009914,0,0,0,0,0,0,0,4.11124270546227e-05
"SRR4047247","SRR4047247","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","WARN","WARN","FAIL","100","44","41.0","40.0","35.5","35.0",0.946947729371083,0.851123487514901,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047247_accepted_hits.sorted.bam",14904527,13377055,1527472,0.8975,13274304,547514,0.0396122999159734,0.62964963139647,8707052,698589,774435,3648332,0,0,0,0,0,0,0,0
"SRR4047248","SRR4047248","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","100","44","41.0","40.0","36.0","35.0",0.948181326930735,0.853224179197964,7.13556306835206e-06,7.13556306835206e-06,7.13556306835206e-06,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047248_accepted_hits.sorted.bam",14014311,12919182,1095129,0.9219,12743588,607951,0.0455341515311456,0.615063963653934,8226876,545835,771663,3831269,0,0,0,0,0,0,0,2.38243532538961e-05
"SRR4047249","SRR4047249","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","100","43","41.0","40.0","36.0","35.0",0.950824408713525,0.858535567676973,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047249_accepted_hits.sorted.bam",15515787,14420779,1095008,0.9294,14430840,452260,0.0303874864779515,0.501112553043178,7491557,588035,879995,5990262,0,0,0,0,0,0,0,2.66967200543225e-07
"SRR4047250","SRR4047250","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","100","43","41.0","40.0","36.0","35.0",0.948730993623655,0.854274439777017,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047250_accepted_hits.sorted.bam",15129199,14022004,1107195,0.9268,13844691,711350,0.0488697441838753,0.570124872328324,8328818,620848,988137,4670958,0,0,0,0,0,0,0,9.36507437189767e-06
"SRR4047251","SRR4047251","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","100","44","41.0","40.0","35.5","35.0",0.947144275933173,0.852010912894195,0.000149976272719337,0.000149976272719337,0.000149976272719337,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047251_accepted_hits.sorted.bam",19336392,17866699,1469693,0.924,17559718,866191,0.0470094039865279,0.644236331693456,11876969,850731,971928,4736105,0,0,0,0,0,0,0,4.79920424141883e-06
"SRR4047252","SRR4047252","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","100","44","41.0","40.0","36.0","35.0",0.949122130728914,0.855279432279422,6.02696246034108e-06,6.02696246034108e-06,1.20539249206822e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047252_accepted_hits.sorted.bam",16592106,15266415,1325691,0.9201,15194899,630185,0.0398219055266942,0.633928833647501,10058758,714011,1010836,4083725,0,0,0,0,0,0,0,6.95910966343956e-07
"SRR4047253","SRR4047253","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","100","44","41.0","41.0","36.0","35.0",0.96854702394775,0.905932305234696,0.000268594695669164,0.00041440324474671,0.000606256598796113,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047253_accepted_hits.sorted.bam",13030786,11960241,1070545,0.9178,11685003,704252,0.0568437730920867,0.699317444464228,8676056,648580,766671,2315156,0,0,0,0,0,0,0,3.45779234251139e-07
"SRR4047254","SRR4047254","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","PASS","FAIL","100","44","41.0","41.0","36.0","35.0",0.966926716746339,0.906591395401776,0.000491691327111313,0.000655588436148418,0.000837696335078534,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/singleend_n34/HISAT2_out/SRR4047254_accepted_hits.sorted.bam",16473750,15155905,1317845,0.92,15276090,402629,0.0256799678596191,0.573976029786372,9015007,706663,922961,5061612,0,0,0,0,0,0,0,4.08208224353015e-05
