"","SAMPLE_ID","FQCbasicStats","perBaseQual","perTileQual","perSeqQual","perBaseContent","GCcontent","Ncontent","SeqLengthDist","SeqDuplication","OverrepSeqs","AdapterContent","KmerContent","SeqLength","percentGC","phred14","phred27","phred40","phred51","phredGT30","phredGT35","Adapter24","Adapter32","Adapter39","bamFile","numReads","numMapped","numUnmapped","overallMapRate","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Ambiguity","gene_Unassigned_MultiMapping","gene_Unassigned_NoFeatures","gene_Unassigned_Unmapped","gene_Unassigned_MappingQuality","gene_Unassigned_FragmentLength","gene_Unassigned_Chimera","gene_Unassigned_Secondary","gene_Unassigned_Nonjunction","gene_Unassigned_Duplicate","rRNA_rate"
"SRR5442959","SRR5442959","PASS","PASS",NA,"PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","51","48","37.0","37.0","37.0","37.0",0.984340366114127,0.926521387295191,0.00113742856125244,0.00244719478330071,0.00875858289422336,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Santos/HISAT2_out/SRR5442959_accepted_hits.sorted.bam",26111530,25420474,691056,0.9735,25570364,990138,0.0372785875809124,0.838340702547514,22279071,1304962,1977653,1013513,0,0,0,0,0,0,0,6.73277624547271e-07
"SRR5442958","SRR5442958","PASS","PASS",NA,"PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","51","49","37.0","37.0","37.0","37.0",0.980208894812965,0.901245051865474,0.000615849152323276,0.00135059987365946,0.00463106367514384,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Santos/HISAT2_out/SRR5442958_accepted_hits.sorted.bam",32800240,31747092,1053148,0.9679,32179916,987213,0.029764801168048,0.839364236030794,27861237,1575243,2476861,1279921,0,0,0,0,0,0,0,1.6151472384374e-06
"SRR5442962","SRR5442962","PASS","PASS",NA,"PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","51","49","37.0","37.0","37.0","37.0",0.938329721700978,0.772367549524198,0.000880019853247889,0.00170137171627925,0.00482930193150771,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Santos/HISAT2_out/SRR5442962_accepted_hits.sorted.bam",32385633,31294278,1091355,0.9663,31956700,1498545,0.0447925280475453,0.755765848988292,25326913,1695750,3727761,2761163,0,0,0,0,0,0,0,3.63249954702336e-06
"SRR5442961","SRR5442961","PASS","PASS",NA,"PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","51","48","37.0","37.0","37.0","37.0",0.941738046472298,0.781745679295545,0.00082871708649197,0.00168208003429225,0.00471352097521455,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Santos/HISAT2_out/SRR5442961_accepted_hits.sorted.bam",32459811,31399454,1060357,0.9673,32017006,1686164,0.0500298339889097,0.750141698581249,25322168,1686142,4042284,2705919,0,0,0,0,0,0,0,3.83063567068981e-06
"SRR5442963","SRR5442963","PASS","PASS",NA,"PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","51","48","37.0","37.0","37.0","37.0",0.946930804816789,0.795811177092357,0.00084322206690593,0.00160719393955378,0.00475501165548457,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Santos/HISAT2_out/SRR5442963_accepted_hits.sorted.bam",31545664,30537516,1008148,0.968,30974042,1555459,0.0478168724444928,0.761128492433843,24799992,1602206,3428771,2752218,0,0,0,0,0,0,0,3.22580749219597e-06
"SRR5442964","SRR5442964","PASS","PASS",NA,"PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","51","48","37.0","37.0","37.0","37.0",0.947213425212411,0.793961325430596,0.000903183758877393,0.00162573076597931,0.00444667470620637,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Santos/HISAT2_out/SRR5442964_accepted_hits.sorted.bam",33215832,32195831,1020001,0.9693,32733818,1645392,0.0478600875354611,0.761321925171458,26215583,1726395,3740160,2752156,0,0,0,0,0,0,0,3.16605585311606e-06
"SRR5442965","SRR5442965","PASS","PASS",NA,"PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","51","49","37.0","37.0","37.0","37.0",0.944811078025423,0.79576331636206,0.000753672459594547,0.00172187340956058,0.00550434942400512,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Santos/HISAT2_out/SRR5442965_accepted_hits.sorted.bam",35426530,34209832,1216698,0.9657,35465872,1414956,0.0383656245461734,0.735486187108228,27167783,1800465,4590676,3379612,0,0,0,0,0,0,0,3.57040543205163e-06
"SRR5442966","SRR5442966","PASS","PASS",NA,"PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","51","48","37.0","37.0","37.0","37.0",0.949040854521304,0.805358219587923,0.000770169525497597,0.00174806112218749,0.00568838902649677,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Santos/HISAT2_out/SRR5442966_accepted_hits.sorted.bam",31291812,30268717,1023095,0.9673,31256104,1316095,0.0404054697074643,0.737311772670792,24054046,1569000,3973477,3027459,0,0,0,0,0,0,0,3.74157428650465e-06
"SRR5442967","SRR5442967","PASS","PASS",NA,"PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","51","49","37.0","37.0","37.0","37.0",0.947264735022574,0.799881140075649,0.00101001439702528,0.00216601907562648,0.00706414199217385,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Santos/HISAT2_out/SRR5442967_accepted_hits.sorted.bam",33563878,32447316,1116562,0.9667,33391979,1333721,0.0384073179230368,0.74718781558056,25988780,1721775,3912296,3159274,0,0,0,0,0,0,0,4.15563947211066e-06
"SRR5442968","SRR5442968","PASS","PASS",NA,"PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","51","48","37.0","37.0","37.0","37.0",0.945522912366737,0.799607714358654,0.0010875718689702,0.0019361842850399,0.00511311957552468,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Santos/HISAT2_out/SRR5442968_accepted_hits.sorted.bam",32641521,31517607,1123914,0.9656,32577693,1363080,0.0401605467264991,0.7340924886177,24957327,1621131,4202431,3216635,0,0,0,0,0,0,0,4.40752328965358e-06
"SRR5442970","SRR5442970","PASS","PASS",NA,"PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","51","49","37.0","37.0","37.0","37.0",0.980791035570779,0.894864859325098,0.000404881760608092,0.000885678851330201,0.00336919465077448,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Santos/HISAT2_out/SRR5442970_accepted_hits.sorted.bam",27662397,26658123,1004274,0.9637,27048660,815363,0.0292622138590684,0.82591857526851,23036677,1369958,2094116,1391438,0,0,0,0,0,0,0,1.08522596379677e-06
"SRR5442971","SRR5442971","PASS","PASS",NA,"PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","51","49","37.0","37.0","37.0","37.0",0.972640301595786,0.712278811253593,0.000246938323516367,0.000734140961805415,0.00340040745490781,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Santos/HISAT2_out/SRR5442971_accepted_hits.sorted.bam",29966997,29007876,959121,0.968,29372989,1113751,0.0365323088004818,0.81606652719727,24904755,1500534,2529639,1583117,0,0,0,0,0,0,0,2.12810766458052e-06
"SRR5442972","SRR5442972","PASS","PASS",NA,"PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","51","49","37.0","37.0","37.0","37.0",0.979774690863538,0.890457041822808,0.000424904077904413,0.000962282764665877,0.00356482024183041,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Santos/HISAT2_out/SRR5442972_accepted_hits.sorted.bam",32007224,30772050,1235174,0.9614,31523021,996562,0.0306449809027379,0.800660487797535,26061647,1549040,3072399,1867099,0,0,0,0,0,0,0,1.80341633819229e-06
"SRR5442969","SRR5442969","PASS","PASS",NA,"PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","51","49","37.0","37.0","37.0","37.0",0.980079179433954,0.892375847447702,0.000878733235494845,0.00157800686655764,0.00501249239965369,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Santos/HISAT2_out/SRR5442969_accepted_hits.sorted.bam",32319251,31064829,1254422,0.9612,31544196,1064427,0.0326425007274916,0.820478611154611,26778488,1597145,2698304,1563706,0,0,0,0,0,0,0,1.79248357860982e-06
