"","SAMPLE_ID","bamFile","trimmed","numReads","numMapped","numUnmapped","overallMapRate","concordMapRate","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Ambiguity","gene_Unassigned_MultiMapping","gene_Unassigned_NoFeatures","gene_Unassigned_Unmapped","gene_Unassigned_MappingQuality","gene_Unassigned_FragmentLength","gene_Unassigned_Chimera","gene_Unassigned_Secondary","gene_Unassigned_Nonjunction","gene_Unassigned_Duplicate","rRNA_rate"
"SRR4250322","SRR4250322","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250322_accepted_hits.sorted.bam",FALSE,1909190,1643662,265528,0.8609,0.8228,1675848,46732,0.0271290738311138,0.650727893371985,585428,33472,83401,197350,0,0,0,0,0,0,0,3.07467357215576e-05
"SRR4250323","SRR4250323","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250323_accepted_hits.sorted.bam",FALSE,2406154,2057851,348303,0.8552,0.8207,2057271,103231,0.0477810249654941,0.656143568712039,739794,41818,108945,236931,0,0,0,0,0,0,0,1.89241870034091e-05
"SRR4250324","SRR4250324","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250324_accepted_hits.sorted.bam",FALSE,1749218,1482407,266811,0.8475,0.8129,1479259,83422,0.0533838960094863,0.75111119818388,613422,36753,85784,80727,0,0,0,0,0,0,0,0
"SRR4250325","SRR4250325","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250325_accepted_hits.sorted.bam",FALSE,2128648,1790584,338064,0.8412,0.8074,1824734,69366,0.0366221424423209,0.689189505345894,677536,43910,101264,160381,0,0,0,0,0,0,0,4.42780900203089e-06
"SRR4250326","SRR4250326","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250326_accepted_hits.sorted.bam",FALSE,2087620,1880871,206749,0.901,0.8664,1848012,132506,0.0669047188664784,0.670393587323997,689475,40856,100822,197310,0,0,0,0,0,0,0,1.59541680263969e-05
"SRR4250327","SRR4250327","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250327_accepted_hits.sorted.bam",FALSE,2424308,2126226,298082,0.877,0.844,2104276,112768,0.0508641235807679,0.73172282484675,840110,42177,93281,172558,0,0,0,0,0,0,0,3.57096094559046e-06
"SRR4250328","SRR4250328","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250328_accepted_hits.sorted.bam",FALSE,3136188,2666141,470047,0.8501,0.817,2795771,12643,0.00450182914627259,0.602009650834513,875552,52750,137760,388320,0,0,0,0,0,0,0,3.31219619165966e-05
"SRR4250329","SRR4250329","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250329_accepted_hits.sorted.bam",FALSE,2229694,1917242,312452,0.8599,0.8259,1965625,60152,0.0296932979296339,0.672564517864471,706336,45281,105698,192898,0,0,0,0,0,0,0,1.41575680695873e-05
"SRR4250330","SRR4250330","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250330_accepted_hits.sorted.bam",FALSE,1809956,1520006,289950,0.8398,0.8053,1549322,41887,0.026324008976822,0.686642485031423,568472,33878,74800,150751,0,0,0,0,0,0,0,1.58319143247161e-05
"SRR4250331","SRR4250331","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250331_accepted_hits.sorted.bam",FALSE,1955976,1641579,314397,0.8393,0.8037,1643990,84287,0.0487693812970953,0.720831845096138,649840,39124,91483,121067,0,0,0,0,0,0,0,1.53884032992737e-06
"SRR4250332","SRR4250332","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250332_accepted_hits.sorted.bam",FALSE,963216,806405,156811,0.8372,0.7988,824780,24681,0.0290548948097676,0.660611742909691,293815,17095,45113,88739,0,0,0,0,0,0,0,3.06315198339091e-05
"SRR4250333","SRR4250333","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250333_accepted_hits.sorted.bam",FALSE,1574088,1347765,226323,0.8562,0.8202,1342960,78960,0.0555305502419264,0.672159733525523,498026,28944,76227,137737,0,0,0,0,0,0,0,1.00396364848422e-05
"SRR4250334","SRR4250334","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250334_accepted_hits.sorted.bam",FALSE,2200288,1858276,342012,0.8446,0.8103,1875246,78528,0.0401929803549438,0.666142917450811,675365,40815,96697,200967,0,0,0,0,0,0,0,1.77681698044761e-05
"SRR4250335","SRR4250335","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250335_accepted_hits.sorted.bam",FALSE,2498694,2133489,365205,0.8538,0.8215,2133995,98004,0.0439086218228592,0.615069705878786,710050,39371,97922,307079,0,0,0,0,0,0,0,1.12668121963242e-05
"SRR4250336","SRR4250336","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250336_accepted_hits.sorted.bam",FALSE,3326152,2717520,608632,0.817,0.7864,2726851,107775,0.038020888822723,0.639848685217163,936718,47637,118202,361411,0,0,0,0,0,0,0,5.44454147352778e-05
"SRR4250337","SRR4250337","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250337_accepted_hits.sorted.bam",FALSE,2809514,2358638,450876,0.8395,0.8088,2354131,113613,0.0460392163854922,0.757777282487224,965578,54883,111392,142371,0,0,0,0,0,0,0,1.65703858207209e-05
"SRR4250338","SRR4250338","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250338_accepted_hits.sorted.bam",FALSE,3274654,2798370,476284,0.8546,0.8238,2818761,88384,0.0304023363127742,0.660258712898655,988884,49111,109698,350029,0,0,0,0,0,0,0,2.93259876790402e-05
"SRR4250339","SRR4250339","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250339_accepted_hits.sorted.bam",FALSE,1078770,856808,221962,0.7942,0.7541,885010,21605,0.0238304021001197,0.684115439357484,323001,24501,51825,72817,0,0,0,0,0,0,0,2.47677251773214e-05
"SRR4250340","SRR4250340","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250340_accepted_hits.sorted.bam",FALSE,2097378,1741537,355841,0.8303,0.7972,1739429,74068,0.0408426371810927,0.684989433672498,644062,32637,74360,189192,0,0,0,0,0,0,0,2.48423288441175e-05
"SRR4250341","SRR4250341","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250341_accepted_hits.sorted.bam",FALSE,1406272,1186044,220228,0.8434,0.8098,1182567,58235,0.04693335439498,0.65232676617225,419345,22568,55477,145455,0,0,0,0,0,0,0,2.86160559920829e-05
"SRR4250342","SRR4250342","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250342_accepted_hits.sorted.bam",FALSE,1586784,1302496,284288,0.8208,0.787,1332821,40444,0.0294509799638089,0.64691705161679,460603,25276,68522,157596,0,0,0,0,0,0,0,1.73685364619857e-05
"SRR4250343","SRR4250343","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250343_accepted_hits.sorted.bam",FALSE,2552152,2213288,338864,0.8672,0.8316,2216834,109879,0.0472249907917307,0.657846624915772,796647,45216,119346,249783,0,0,0,0,0,0,0,8.78682779198315e-06
"SRR4250344","SRR4250344","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250344_accepted_hits.sorted.bam",FALSE,1841492,1582624,258868,0.8594,0.8241,1614465,46357,0.0279120820894714,0.682552422880016,591016,36705,81478,156692,0,0,0,0,0,0,0,1.8612017271952e-05
"SRR4250345","SRR4250345","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250345_accepted_hits.sorted.bam",FALSE,2780014,2489182,290832,0.8954,0.8634,2500102,103333,0.0396910235899878,0.593136105247875,796650,40997,109436,396032,0,0,0,0,0,0,0,2.51051277223373e-06
"SRR4250346","SRR4250346","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250346_accepted_hits.sorted.bam",FALSE,3953906,3525317,428589,0.8916,0.8656,3518687,134455,0.0368053034894346,0.690063410468827,1289792,63706,120536,395058,0,0,0,0,0,0,0,1.39557385997122e-05
"SRR4250347","SRR4250347","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250347_accepted_hits.sorted.bam",FALSE,3691824,3211975,479849,0.87,0.8421,3229234,105895,0.0317513955232316,0.658680132152325,1130029,52453,124710,408404,0,0,0,0,0,0,0,0
"SRR4250348","SRR4250348","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250348_accepted_hits.sorted.bam",FALSE,4243132,3733820,509312,0.88,0.8517,3798422,98396,0.0252503452817145,0.606903658681849,1212619,63794,153607,568022,0,0,0,0,0,0,0,1.31945813153183e-05
"SRR4250349","SRR4250349","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250349_accepted_hits.sorted.bam",FALSE,5024140,4318989,705151,0.8596,0.8302,4311478,159019,0.0355707653981202,0.656917637786114,1501897,74580,143315,566487,0,0,0,0,0,0,0,1.33164924092664e-06
"SRR4250350","SRR4250350","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250350_accepted_hits.sorted.bam",FALSE,1371554,1144688,226866,0.8346,0.7947,1164045,45810,0.0378640415586992,0.678722366710013,425901,33545,66656,101402,0,0,0,0,0,0,0,2.3479634938636e-06
"SRR4250351","SRR4250351","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250351_accepted_hits.sorted.bam",FALSE,4360790,3771311,589479,0.8648,0.8347,3800398,112502,0.0287515653351734,0.655682740134562,1316508,66724,137090,487521,0,0,0,0,0,0,0,3.57005046684107e-05
"SRR4250352","SRR4250352","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250352_accepted_hits.sorted.bam",FALSE,3788718,3238999,549719,0.8549,0.8243,3147818,220149,0.0653655454462588,0.703322973113496,1217438,62916,128936,321690,0,0,0,0,0,0,0,8.21397064984007e-07
"SRR4250353","SRR4250353","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250353_accepted_hits.sorted.bam",FALSE,2400672,2077139,323533,0.8652,0.8335,2112115,58068,0.0267571905226426,0.685483906937577,768435,44203,93232,215141,0,0,0,0,0,0,0,2.60269248537612e-06
"SRR4250354","SRR4250354","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250354_accepted_hits.sorted.bam",FALSE,2091264,1853311,237953,0.8862,0.8519,1875511,69233,0.0356000584138581,0.635693521697865,639638,33359,87967,245241,0,0,0,0,0,0,0,3.28310700740106e-05
"SRR4250355","SRR4250355","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250355_accepted_hits.sorted.bam",FALSE,1860276,1603661,256615,0.8621,0.826,1591461,86105,0.0513273397291075,0.697592652635113,606734,34693,73312,155015,0,0,0,0,0,0,0,3.9556049273652e-05
"SRR4250356","SRR4250356","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250356_accepted_hits.sorted.bam",FALSE,2416746,2072803,343943,0.8577,0.8231,2061103,126573,0.057857287825071,0.666685766270218,756291,45147,113508,219458,0,0,0,0,0,0,0,3.96672709314272e-06
"SRR4250357","SRR4250357","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250357_accepted_hits.sorted.bam",FALSE,3765436,3241743,523693,0.8609,0.831,3288054,110606,0.0325440026363331,0.653041410138244,1141423,63437,150132,392865,0,0,0,0,0,0,0,6.13269576660011e-06
"SRR4250358","SRR4250358","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250358_accepted_hits.sorted.bam",FALSE,3468726,3037410,431316,0.8757,0.8446,2975649,182488,0.0577834337142436,0.716012806070298,1166324,61277,124522,276792,0,0,0,0,0,0,0,1.71478937242139e-06
"SRR4250359","SRR4250359","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250359_accepted_hits.sorted.bam",FALSE,3900238,3389299,510939,0.869,0.8395,3364078,152505,0.0433673824846449,0.60497047798005,1091106,52302,122377,537784,0,0,0,0,0,0,0,5.49900742915904e-06
"SRR4250360","SRR4250360","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250360_accepted_hits.sorted.bam",FALSE,3400344,2885734,514610,0.8487,0.8183,2954545,50290,0.0167363598999612,0.622858516309094,961417,49977,114700,417462,0,0,0,0,0,0,0,7.28091972577976e-06
"SRR4250361","SRR4250361","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250361_accepted_hits.sorted.bam",FALSE,1334002,1095851,238151,0.8215,0.7821,1097754,62186,0.0536113936927772,0.680734191672034,410077,33166,66097,93064,0,0,0,0,0,0,0,4.14556290647854e-05
"SRR4250362","SRR4250362","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250362_accepted_hits.sorted.bam",FALSE,4371304,3720278,651026,0.8511,0.8217,3805843,63548,0.0164232562695267,0.650980394136209,1289751,66678,141302,483513,0,0,0,0,0,0,0,4.65206074660923e-06
"SRR4250363","SRR4250363","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250363_accepted_hits.sorted.bam",FALSE,3386874,2811771,575103,0.8302,0.7993,2839066,88507,0.0302322094103204,0.627916075577759,943680,42782,111681,404733,0,0,0,0,0,0,0,2.11936249576128e-06
"SRR4250364","SRR4250364","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250364_accepted_hits.sorted.bam",FALSE,2187642,1861705,325937,0.851,0.8186,1895433,56085,0.0287391661260619,0.669552849758907,675542,36629,88601,208173,0,0,0,0,0,0,0,1.48029286113965e-06
"SRR4250365","SRR4250365","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250365_accepted_hits.sorted.bam",FALSE,1964050,1686473,277577,0.8587,0.8235,1709537,55106,0.0312278460855822,0.654429576179794,598949,33922,79848,202504,0,0,0,0,0,0,0,5.00877370193456e-06
"SRR4250366","SRR4250366","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250366_accepted_hits.sorted.bam",FALSE,1609120,1406695,202425,0.8742,0.8369,1356342,120651,0.0816869138851707,0.737383237139338,566870,33000,71902,96987,0,0,0,0,0,0,0,1.05844373489513e-05
"SRR4250367","SRR4250367","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250367_accepted_hits.sorted.bam",FALSE,2848120,2440868,407252,0.857,0.8235,2486347,73218,0.0286056419743199,0.683262430003749,903907,58355,116589,244077,0,0,0,0,0,0,0,1.99135530535774e-05
"SRR4250368","SRR4250368","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250368_accepted_hits.sorted.bam",FALSE,3668734,3025708,643026,0.8247,0.7933,3029337,115973,0.0368717232959549,0.654991796503954,1061912,55870,118115,385363,0,0,0,0,0,0,0,1.31837666397969e-05
"SRR4250369","SRR4250369","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250369_accepted_hits.sorted.bam",FALSE,3959902,3436478,523424,0.8678,0.838,3479149,95935,0.0268343345219301,0.600921661998794,1103050,59194,134837,538516,0,0,0,0,0,0,0,2.90104709668646e-05
"SRR4250370","SRR4250370","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250370_accepted_hits.sorted.bam",FALSE,4840970,4191270,649700,0.8658,0.8366,4249861,117579,0.0269217207334274,0.596250194380743,1334334,62669,165890,674983,0,0,0,0,0,0,0,8.99325056545063e-06
"SRR4250371","SRR4250371","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250371_accepted_hits.sorted.bam",FALSE,4837412,4074069,763343,0.8422,0.8119,4071580,159455,0.0376869962077837,0.629996425860557,1367818,61918,154590,586826,0,0,0,0,0,0,0,2.92436566853192e-06
"SRR4250372","SRR4250372","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250372_accepted_hits.sorted.bam",FALSE,645600,530826,114774,0.8222,0.7801,546008,19841,0.0350641248813729,0.694892331172348,203978,16106,35075,38380,0,0,0,0,0,0,0,0
"SRR4250373","SRR4250373","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250373_accepted_hits.sorted.bam",FALSE,4751168,4136372,614796,0.8706,0.8408,4180272,132296,0.0306768496172118,0.638155819577331,1408124,69827,162390,566211,0,0,0,0,0,0,0,1.42032945962145e-06
"SRR4250374","SRR4250374","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250374_accepted_hits.sorted.bam",FALSE,4859672,4162260,697412,0.8565,0.8263,4110201,194118,0.045098423234895,0.665908397861056,1467465,68120,139687,528432,0,0,0,0,0,0,0,4.08868354611524e-06
"SRR4250375","SRR4250375","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250375_accepted_hits.sorted.bam",FALSE,3073870,2733032,340838,0.8891,0.8597,2766998,79540,0.0279427149751734,0.653892099902322,954621,47272,107506,350507,0,0,0,0,0,0,0,9.42782528354185e-06
"SRR4250376","SRR4250376","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250376_accepted_hits.sorted.bam",FALSE,2977106,2621719,355387,0.8806,0.847,2640729,110749,0.040250730698192,0.624718420171943,888557,50754,127694,355327,0,0,0,0,0,0,0,1.46304626489916e-05
"SRR4250377","SRR4250377","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250377_accepted_hits.sorted.bam",FALSE,1793706,1573953,219753,0.8775,0.8415,1618073,12429,0.00762280573712881,0.766477342135007,646273,34863,55956,106081,0,0,0,0,0,0,0,9.28400227148589e-06
"SRR4250378","SRR4250378","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250378_accepted_hits.sorted.bam",FALSE,2470248,2112135,358113,0.855,0.8185,2128431,95507,0.0429449921715443,0.692261840814813,799028,48195,111057,195948,0,0,0,0,0,0,0,3.75456179257798e-06
"SRR4250379","SRR4250379","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250379_accepted_hits.sorted.bam",FALSE,2211730,1900168,311562,0.8591,0.8222,1852609,139991,0.0702554451470441,0.664694591153356,691184,39105,100274,209289,0,0,0,0,0,0,0,4.34037824949652e-06
"SRR4250380","SRR4250380","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250380_accepted_hits.sorted.bam",FALSE,2589448,2187705,401743,0.8449,0.809,2176790,118996,0.0518323571970558,0.657342393419305,783773,44317,108964,255282,0,0,0,0,0,0,0,0
"SRR4250381","SRR4250381","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250381_accepted_hits.sorted.bam",FALSE,2739790,2377599,362191,0.8678,0.8356,2422344,57260,0.0230923970117809,0.669254785998796,855062,49935,99040,273596,0,0,0,0,0,0,0,7.0170350220218e-06
"SRR4250382","SRR4250382","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250382_accepted_hits.sorted.bam",FALSE,3143680,2614102,529578,0.8315,0.7998,2639229,84160,0.0309026731032548,0.630880275336986,884626,44618,106063,366902,0,0,0,0,0,0,0,2.03475819159735e-05
"SRR4250383","SRR4250383","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250383_accepted_hits.sorted.bam",FALSE,2003412,1677441,325971,0.8373,0.7975,1652183,120280,0.0678603728258361,0.698327240984233,639982,41523,94962,139983,0,0,0,0,0,0,0,1.2500351572388e-05
"SRR4250384","SRR4250384","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250384_accepted_hits.sorted.bam",FALSE,3739784,3235300,504484,0.8651,0.8345,3216788,144509,0.0429920355148623,0.61987433584271,1068540,51463,119580,484218,0,0,0,0,0,0,0,4.67928201096824e-06
"SRR4250385","SRR4250385","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250385_accepted_hits.sorted.bam",FALSE,3213012,2744792,468220,0.8543,0.8248,2771097,61899,0.0218493072351673,0.624936667033814,907808,44997,87912,411923,0,0,0,0,0,0,0,0
"SRR4250386","SRR4250386","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250386_accepted_hits.sorted.bam",FALSE,1968894,1684746,284148,0.8557,0.8231,1709006,57035,0.0322953997104257,0.619517630440695,564896,30254,78689,237993,0,0,0,0,0,0,0,1.41618988273948e-05
"SRR4250387","SRR4250387","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250387_accepted_hits.sorted.bam",FALSE,2483346,2164010,319336,0.8714,0.836,2213651,52483,0.0231597072370831,0.626898243504782,736255,43543,103176,291467,0,0,0,0,0,0,0,6.79112535738297e-06
"SRR4250388","SRR4250388","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250388_accepted_hits.sorted.bam",FALSE,2015652,1695940,319712,0.8414,0.8048,1731047,50022,0.028085380184597,0.63955047480639,591455,34144,83915,215284,0,0,0,0,0,0,0,3.38149140678496e-05
"SRR4250389","SRR4250389","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250389_accepted_hits.sorted.bam",FALSE,1940682,1677457,263225,0.8644,0.8277,1683649,85338,0.0482411685331775,0.6881660752044,632362,39810,90145,156592,0,0,0,0,0,0,0,3.3208826589833e-05
"SRR4250390","SRR4250390","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250390_accepted_hits.sorted.bam",FALSE,2281964,1961451,320513,0.8595,0.8237,1997966,64903,0.0314624922862285,0.656821786969446,703087,44813,99893,222645,0,0,0,0,0,0,0,2.98682808813134e-05
"SRR4250391","SRR4250391","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250391_accepted_hits.sorted.bam",FALSE,2101232,1742371,358861,0.8292,0.7941,1736231,82977,0.0456116068091169,0.825446774708083,781429,55701,82795,26749,0,0,0,0,0,0,0,0
