"","SAMPLE_ID","bamFile","trimmed","numReads","numMapped","numUnmapped","overallMapRate","concordMapRate","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Ambiguity","gene_Unassigned_MultiMapping","gene_Unassigned_NoFeatures","gene_Unassigned_Unmapped","gene_Unassigned_MappingQuality","gene_Unassigned_FragmentLength","gene_Unassigned_Chimera","gene_Unassigned_Secondary","gene_Unassigned_Nonjunction","gene_Unassigned_Duplicate","rRNA_rate"
"SRR4250312","SRR4250312","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250312_accepted_hits.sorted.bam",FALSE,1001436,858250,143186,0.857,0.821,872651,35099,0.0386659322500689,0.624053343510156,294341,17450,48515,111354,0,0,0,0,0,0,0,6.11535599865462e-05
"SRR4250313","SRR4250313","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250313_accepted_hits.sorted.bam",FALSE,1087072,970969,116103,0.8932,0.8567,980429,41104,0.0402375645231236,0.684977415947598,363810,22177,51346,93794,0,0,0,0,0,0,0,0
"SRR4250314","SRR4250314","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250314_accepted_hits.sorted.bam",FALSE,1432498,1228012,204486,0.8573,0.8209,1223032,61957,0.0482159769461062,0.69490165132514,464958,28721,59556,115864,0,0,0,0,0,0,0,0
"SRR4250315","SRR4250315","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250315_accepted_hits.sorted.bam",FALSE,1592776,1383432,209344,0.8686,0.8337,1402388,48855,0.0336642450644034,0.643455991588238,484671,28253,67950,172357,0,0,0,0,0,0,0,2.47590633646329e-05
"SRR4250316","SRR4250316","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250316_accepted_hits.sorted.bam",FALSE,1221020,1069505,151515,0.8759,0.8418,1075441,52931,0.0469091753428834,0.698890065859163,409725,25630,58463,92433,0,0,0,0,0,0,0,1.46439685154677e-05
"SRR4250317","SRR4250317","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250317_accepted_hits.sorted.bam",FALSE,2703610,2359895,343715,0.8729,0.8373,2294165,160947,0.0655558687342981,0.688201625150028,873279,52626,95087,247937,0,0,0,0,0,0,0,5.72554704739264e-06
"SRR4250318","SRR4250318","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250318_accepted_hits.sorted.bam",FALSE,602406,495253,107153,0.8221,0.7794,505224,23597,0.044621904198207,0.671538495232811,183972,14886,32784,42314,0,0,0,0,0,0,0,1.08712195334073e-05
"SRR4250319","SRR4250319","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250319_accepted_hits.sorted.bam",FALSE,2291762,1942882,348880,0.8478,0.8124,1947787,106667,0.0519198774954319,0.645654783350539,691730,43252,114570,221810,0,0,0,0,0,0,0,0
"SRR4250320","SRR4250320","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250320_accepted_hits.sorted.bam",FALSE,1522410,1301612,220798,0.855,0.8191,1304120,62883,0.046000630576524,0.670407302757822,476195,29371,66358,138383,0,0,0,0,0,0,0,6.29994015056857e-06
"SRR4250321","SRR4250321","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4250321_accepted_hits.sorted.bam",FALSE,1244160,1069733,174427,0.8598,0.8221,1091161,30000,0.02675797677586,0.692288250071299,405377,23585,53038,103561,0,0,0,0,0,0,0,0
