Run,Sample_Name,SRA_Study,Organism,gender,Library,sample_type,source,cell_type
SRR4047245,GSM2286986,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047246,GSM2286987,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047247,GSM2286988,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047248,GSM2286989,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047249,GSM2286990,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047250,GSM2286991,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047251,GSM2286992,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047252,GSM2286993,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047253,GSM2286994,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047254,GSM2286995,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047255,GSM2286996,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047256,GSM2286997,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047257,GSM2286998,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047258,GSM2286999,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047259,GSM2287000,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047260,GSM2287001,SRP082522,Homo_sapiens,male,SINGLE,Pooled,iPSC-derived neural progenitor cells,NPC
SRR4047261,GSM2287002,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047262,GSM2287003,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047263,GSM2287004,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047264,GSM2287005,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047265,GSM2287006,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047266,GSM2287007,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047267,GSM2287008,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047268,GSM2287009,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047269,GSM2287010,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047270,GSM2287011,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047271,GSM2287012,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047272,GSM2287013,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047273,GSM2287014,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047274,GSM2287015,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047275,GSM2287016,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047276,GSM2287017,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047277,GSM2287018,SRP082522,Homo_sapiens,male,SINGLE,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047278,GSM2287019,SRP082522,Homo_sapiens,male,SINGLE,Pooled,iPSC-derived neural progenitor cells,NPC
SRR4047279,GSM2287020,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047280,GSM2287021,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047281,GSM2287022,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047282,GSM2287023,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047283,GSM2287024,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047284,GSM2287025,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047285,GSM2287026,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047286,GSM2287027,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047287,GSM2287028,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047288,GSM2287029,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047289,GSM2287030,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047290,GSM2287031,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047291,GSM2287032,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047292,GSM2287033,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047293,GSM2287034,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047294,GSM2287035,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047295,GSM2287036,SRP082522,Homo_sapiens,male,PAIRED,Pooled,iPSC-derived motor neurons,MN
SRR4047296,GSM2287037,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047297,GSM2287038,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047298,GSM2287039,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047299,GSM2287040,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047300,GSM2287041,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047301,GSM2287042,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047302,GSM2287043,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047303,GSM2287044,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047304,GSM2287045,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047305,GSM2287046,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047306,GSM2287047,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047307,GSM2287048,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047308,GSM2287049,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047309,GSM2287050,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047310,GSM2287051,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047311,GSM2287052,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047312,GSM2287053,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047313,GSM2287054,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047314,GSM2287055,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047315,GSM2287056,SRP082522,Homo_sapiens,male,PAIRED,Pooled,iPSC-derived motor neurons,MN
SRR4047316,GSM2287057,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047317,GSM2287058,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047318,GSM2287059,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047319,GSM2287060,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047320,GSM2287061,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047321,GSM2287062,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047322,GSM2287063,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047323,GSM2287064,SRP082522,Homo_sapiens,male,PAIRED,Pooled,iPSC-derived motor neurons,MN
SRR4047324,GSM2287065,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047325,GSM2287066,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047326,GSM2287067,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047327,GSM2287068,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047328,GSM2287069,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047329,GSM2287070,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047330,GSM2287071,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047331,GSM2287072,SRP082522,Homo_sapiens,male,PAIRED,Pooled,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047332,GSM2287073,SRP082522,Homo_sapiens,male,PAIRED,Pooled,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047333,GSM2287074,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047334,GSM2287075,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
SRR4047335,GSM2287076,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived motor neurons,MN
