"","SAMPLE_ID","FQCbasicStats","perBaseQual","perTileQual","perSeqQual","perBaseContent","GCcontent","Ncontent","SeqLengthDist","SeqDuplication","OverrepSeqs","AdapterContent","KmerContent","SeqLength_R1","percentGC_R1","phred20-21_R1","phred48-49_R1","phred76-77_R1","phred100-101_R1","phredGT30_R1","phredGT35_R1","Adapter50-51_R1","Adapter70-71_R1","Adapter88-89_R1","SeqLength_R2","percentGC_R2","phred20-21_R2","phred48-49_R2","phred76-77_R2","phred100-101_R2","phredGT30_R2","phredGT35_R2","Adapter50-51_R2","Adapter70-71_R2","Adapter88-89_R2","bamFile","trimmed","numReads","numMapped","numUnmapped","overallMapRate","concordMapRate","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Ambiguity","gene_Unassigned_MultiMapping","gene_Unassigned_NoFeatures","gene_Unassigned_Unmapped","gene_Unassigned_MappingQuality","gene_Unassigned_FragmentLength","gene_Unassigned_Chimera","gene_Unassigned_Secondary","gene_Unassigned_Nonjunction","gene_Unassigned_Duplicate","rRNA_rate"
"SRR2453299","SRR2453299","PASS","PASS","PASS/WARN","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN","PASS","FAIL","101","48","41.0","40.0","34.0","34.5",0.954743077238683,0.85651058817195,0.0480498153470688,0.0584219155559554,0.0751889326243566,"101","48","41.0","40.0","35.0","34.5",0.924242958626694,0.814487425018603,0.0457258833310149,0.0549301549384939,0.0704331968740464,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453299_accepted_hits.sorted.bam",FALSE,42643244,41261783,1381461,0.9676,0.9379,41382511,936466,0.022128748528113,0.882550417176941,19125345,1059009,1014628,471559,0,0,0,0,0,0,0,1.20259268525614e-06
"SRR2453300","SRR2453300","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN","PASS","FAIL","101","48","41.0","40.0","33.5","34.5",0.957463440304701,0.874013296032815,0.0538491685696016,0.0655244237357109,0.082323924827153,"101","48","41.0","40.0","35.0","34.5",0.933133813647259,0.838341760897271,0.0511055154529614,0.0615227984994272,0.0777538235823721,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453300_accepted_hits.sorted.bam",FALSE,62799484,60600131,2199353,0.965,0.9351,60999344,1369211,0.0219535469436481,0.876603944120164,27998197,1555704,1690511,694980,0,0,0,0,0,0,0,1.32151366746937e-06
"SRR2453301","SRR2453301","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN/PASS","PASS","FAIL","101","47","41.0","40.0","34.0","34.5",0.928150440991479,0.795250343529907,0.0546834857767886,0.0690384112813003,0.0884418599461754,"101","47","41.0","40.0","35.0","34.5",0.90190993121038,0.768187874389934,0.050595497034252,0.0645314139024158,0.0828942836146452,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453301_accepted_hits.sorted.bam",FALSE,122431844,113473839,8958005,0.9268,0.8921,112187357,6005425,0.0508104208935534,0.780990516719752,48002691,2736237,5039181,5685750,0,0,0,0,0,0,0,4.68723722176325e-06
"SRR2453302","SRR2453302","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN/PASS","PASS","FAIL","101","49","41.0","40.0","33.5","34.5",0.920368865015632,0.764117651019303,0.0904689427129309,0.114281483106945,0.163715528658104,"101","49","40.0","39.0","35.0","34.5",0.879050744858687,0.715769935201947,0.0874284402602768,0.110926578130814,0.160217992293273,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453302_accepted_hits.sorted.bam",FALSE,130406078,125091453,5314625,0.9592,0.9289,127064030,3077267,0.0236455842298852,0.864047786523727,57819001,2788218,4773655,1535565,0,0,0,0,0,0,0,1.12419790857334e-06
"SRR2453303","SRR2453303","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","101","47","41.0","40.0","34.5","34.5",0.950064595648769,0.84405935315982,0.0207262740674151,0.03072932188306,0.0487055907477626,"101","47","41.0","40.0","35.0","34.5",0.919413442599523,0.80515372503454,0.0193128277772977,0.0294888721923677,0.0475061476584154,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453303_accepted_hits.sorted.bam",FALSE,78036216,74230664,3805552,0.9512,0.9185,73944857,2970653,0.0386222882744976,0.798122420316394,31638568,1863153,2659090,3480436,0,0,0,0,0,0,0,3.72962518404752e-06
"SRR2453304","SRR2453304","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","PASS","PASS","PASS","FAIL","101","47","41.0","40.0","33.5","34.5",0.961014290996077,0.877578274469813,0.0227261393660451,0.0332049875802582,0.0508344963683212,"101","47","41.0","40.0","35.0","34.5",0.938604274535279,0.844845823629781,0.021891346426548,0.0323372422878863,0.0502852904870731,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453304_accepted_hits.sorted.bam",FALSE,9104054,8663571,440483,0.9516,0.9202,8556803,343860,0.0386330771089749,0.811856605112891,3714835,218183,236200,406510,0,0,0,0,0,0,0,6.99896496075869e-06
"SRR2453305","SRR2453305","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN/PASS","PASS","FAIL","101","48","41.0","40.0","33.5","34.5",0.928706954014549,0.780691630195512,0.0230287729909098,0.0305243503080157,0.0433260842725021,"101","48","40.0","39.0","35.0","34.5",0.888695999825697,0.734060813816166,0.021821580283452,0.0291922755963381,0.0419160690191838,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453305_accepted_hits.sorted.bam",FALSE,112906580,108785086,4121494,0.9635,0.9322,108994058,3403711,0.0302827274089399,0.867540033138217,50183896,2541646,3526139,1594521,0,0,0,0,0,0,0,1.33508964708519e-06
"SRR2453306","SRR2453306","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN/PASS","PASS","FAIL","101","47","41.0","40.0","34.5","34.5",0.949918124613646,0.845500647065893,0.0253824034931581,0.0354207564284336,0.0532839459253006,"101","47","41.0","40.0","35.0","34.5",0.919877156807657,0.807672146629077,0.0240711478545341,0.0344533261757727,0.0523457295943229,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453306_accepted_hits.sorted.bam",FALSE,88998664,84597593,4401071,0.9505,0.9187,85269664,2463837,0.0280831948106117,0.803527742317588,36289353,2200299,3055931,3616956,0,0,0,0,0,0,0,3.60987422399071e-06
"SRR2453307","SRR2453307","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN/PASS","PASS","FAIL","101","48","41.0","40.0","33.5","34.5",0.928663622941267,0.786266765843192,0.0616356465051217,0.0723153792407843,0.0866507616087405,"101","47","40.5","39.0","35.0","34.5",0.88735478209635,0.738338901434533,0.0577916584064554,0.0660606587725477,0.0794910748095832,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453307_accepted_hits.sorted.bam",FALSE,106191796,102163019,4028777,0.9621,0.932,101541694,3755667,0.0356672471592142,0.877047902728397,47395331,2192133,2971592,1480559,0,0,0,0,0,0,0,1.26594748330801e-06
"SRR2453308","SRR2453308","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","101","46","41.0","40.0","34.5","34.5",0.951482252117144,0.849462141878122,0.0256346221244806,0.0355674325942808,0.0534704413418454,"101","46","41.0","40.0","35.0","34.5",0.922316774566155,0.812409010940352,0.0241071302880149,0.0339485289184096,0.0518250282325466,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453308_accepted_hits.sorted.bam",FALSE,109395020,103205699,6189321,0.9434,0.9099,102811210,4357947,0.0406641903509608,0.790497787481535,43761235,2530651,3967904,5099296,0,0,0,0,0,0,0,4.77591640181087e-06
