dataset,ID,cellType,show,Donor
1,COS,1275-B-3F,F,COS: F,1275
2,COS,1275-B-3N,N,COS: N,1275
3,COS,1275-C-1F,F,COS: F,1275
4,COS,1275-C-1N,N,COS: N,1275
5,COS,1442-2-2F,F,COS: F,1442
6,COS,1442-2-2N,N,COS: N,1442
7,COS,1442-3-2F,F,COS: F,1442
8,COS,1442-3-2N,N,COS: N,1442
9,COS,1442-4-3F,F,COS: F,1442
10,COS,1442-4-3N,N,COS: N,1442
11,COS,2011-3-12F,F,COS: F,2011
12,COS,2011-3-12N,N,COS: N,2011
13,COS,2011-3-2F,F,COS: F,2011
14,COS,2011-3-2N,N,COS: N,2011
15,COS,2476-1-4F,F,COS: F,2476
16,COS,2476-1-4N,N,COS: N,2476
17,COS,2476-D1-2F,F,COS: F,2476
18,COS,2476-D1-2N,N,COS: N,2476
19,COS,2476-D4-4F,F,COS: F,2476
20,COS,2476-D4-4N,N,COS: N,2476
21,COS,2484-2aF,F,COS: F,2484
22,COS,2484-2aN,N,COS: N,2484
23,COS,2513-1-4F,F,COS: F,2513
24,COS,2513-1-4N,N,COS: N,2513
25,COS,2607-1-AF,F,COS: F,2607
26,COS,2607-1-AN,N,COS: N,2607
27,COS,2607-3-1F,F,COS: F,2607
28,COS,2607-3-1N,N,COS: N,2607
29,COS,2607-4-2F,F,COS: F,2607
30,COS,2607-4-2N,N,COS: N,2607
31,COS,2620-B-4F,F,COS: F,2620
32,COS,2620-B-4N,N,COS: N,2620
33,COS,2620-C-3F,F,COS: F,2620
34,COS,2620-C-3N,N,COS: N,2620
35,COS,2962-2-1F,F,COS: F,2962
36,COS,2962-2-1N,N,COS: N,2962
37,COS,3084-1-1F,F,COS: F,3084
38,COS,3084-1-1N,N,COS: N,3084
39,COS,3084-2-2F,F,COS: F,3084
40,COS,3084-2-2N,N,COS: N,3084
41,COS,3113-3-21F,F,COS: F,3113
42,COS,3113-3-21N,N,COS: N,3113
43,COS,3121-2-1F,F,COS: F,3121
44,COS,3121-2-1N,N,COS: N,3121
45,COS,3121-2-MSSM2F,F,COS: F,3121
46,COS,3121-2-MSSM2N,N,COS: N,3121
47,COS,3130-2-1F,F,COS: F,3130
48,COS,3130-2-1N,N,COS: N,3130
49,COS,3130-4-21F,F,COS: F,3130
50,COS,3130-4-21N,N,COS: N,3130
51,COS,3182-1-2F,F,COS: F,3182
52,COS,3182-1-2N,N,COS: N,3182
53,COS,3182-3-1F-2,F,COS: F,3182
54,COS,3182-3-1F,F,COS: F,3182
55,COS,3182-3-1N-2,N,COS: N,3182
56,COS,3182-3-1N,N,COS: N,3182
57,COS,3183-1-4F,F,COS: F,3183
58,COS,3183-1-4N,N,COS: N,3183
59,COS,3183-3-2F,F,COS: F,3183
60,COS,3183-3-2N,N,COS: N,3183
61,COS,3188-2A-4F,F,COS: F,3188
62,COS,3188-2A-4N,N,COS: N,3188
63,COS,3234-1-4F,F,COS: F,3234
64,COS,3234-1-4N,N,COS: N,3234
65,COS,3234-3-4F-2,F,COS: F,3234
66,COS,3234-3-4F,F,COS: F,3234
67,COS,3234-3-4N-2,N,COS: N,3234
68,COS,3234-3-4N,N,COS: N,3234
69,COS,499-2-12F,F,COS: F,499
70,COS,499-2-12N,N,COS: N,499
71,COS,499-5-2F,F,COS: F,499
72,COS,499-5-2N,N,COS: N,499
73,COS,499-X-CF,F,COS: F,499
74,COS,499-X-CN,N,COS: N,499
75,COS,553-3-1F,F,COS: F,553
76,COS,553-3-1N,N,COS: N,553
77,COS,553-3-21F,F,COS: F,553
78,COS,553-3-21N,N,COS: N,553
79,COS,553-X-CF,F,COS: F,553
80,COS,553-X-CN,N,COS: N,553
81,COS,581-1-2F,F,COS: F,581
82,COS,581-1-2N,N,COS: N,581
83,COS,581-2-1F,F,COS: F,581
84,COS,581-2-1N,N,COS: N,581
85,COS,581-3-1F,F,COS: F,581
86,COS,581-3-1N,N,COS: N,581
87,COS,676-1-2F,F,COS: F,676
88,COS,676-1-2N,N,COS: N,676
89,COS,676-2-3F,F,COS: F,676
90,COS,676-2-3N,N,COS: N,676
91,COS,690-1-4F,F,COS: F,690
92,COS,690-1-4N,N,COS: N,690
93,COS,690-2-1F,F,COS: F,690
94,COS,690-2-1N,N,COS: N,690
