"","iPSC","NCX_EarlyFetal","NCX_MidFetal","NCX_LateFetal","NCX_Infant","NCX_Child","NCX_Teens","NCX_Adult"
"ENSG00000131914.10",2.19978106210826,-0.815793968691434,-0.937971370460746,-1.18868544670318,-1.12702828528069,-1.0627724428825,-1.07133549309163,-1.06048991757119
"ENSG00000265992.1",2.1878545844753,-0.812465639850797,-0.924654531153823,-1.18072469740259,-1.10544556923374,-1.04763492867217,-1.05267311953181,-1.03639909140382
"ENSG00000204531.16",2.09133582741593,-0.798246997500336,-0.912495370874284,-1.15852961613835,-1.11155229642253,-1.05040270746647,-1.05273003354321,-1.03517749687636
"ENSG00000088305.18",2.08935630459371,-0.275040725259483,-0.318566206762671,-0.870501269059625,-0.997518274747756,-0.993101241699132,-0.99298623649805,-0.958908968920315
"ENSG00000240563.1",1.81425011904694,-0.78310079665925,-0.919195972869814,-1.15262800067937,-1.10618385629208,-1.0585796911142,-1.06568900146438,-1.04278545373175
"ENSG00000184697.6",1.95206624241785,-0.416891580288806,-0.65293395989348,-0.962783745446599,-1.04620409710973,-1.02256955054352,-1.02251664035314,-1.00577770028107
"ENSG00000121570.12",1.67940891455835,-0.747846091853509,-0.877018977617551,-1.13468056426007,-1.10318548127983,-1.05214077030963,-1.06609605609102,-1.04990730071926
"ENSG00000241186.8",1.65163379291376,-0.796332244301921,-0.907050303570543,-1.09397242880958,-0.970343191988916,-0.862345189016678,-0.924034826828866,-0.895840628328849
"ENSG00000254277.1",1.46797241620822,-0.816784221709239,-0.940508839325403,-1.19082560666861,-1.12900091638713,-1.06617461878272,-1.0745150595633,-1.06149108621658
"ENSG00000254934.5",1.44578942766881,-0.816414770638833,-0.939992930761964,-1.190021336199,-1.12787241286663,-1.05685449186454,-1.06984946227309,-1.05438494240891
"ENSG00000254339.5",1.34397750833665,-0.816433364002964,-0.940609607804007,-1.18995745383632,-1.12903418375922,-1.0662118604591,-1.07371911106956,-1.06222189974855
"ENSG00000260834.1",1.34188486507241,-0.816777475912079,-0.941009317841052,-1.19082560666861,-1.12974530644688,-1.0646859691228,-1.07439889173321,-1.06226558214985
"ENSG00000279560.1",1.32745529081058,-0.815476542203205,-0.926834231789637,-1.13546228335362,-1.12126156753567,-1.05829060295963,-1.06209486508727,-1.04499237494828
"ENSG00000206557.5",1.41232999194948,-0.650315173600534,-0.624895335091155,-1.07656691759781,-0.995176841195295,-0.993098756458958,-0.99810714601721,-0.974530438725124
"ENSG00000133980.4",1.22701772268988,-0.816419275253186,-0.939925716211751,-1.19082560666861,-1.12874692902908,-1.06107495334818,-1.07348834541185,-1.06124235104611
"ENSG00000280707.2",1.2298999916224,-0.804051518767053,-0.918422941499501,-1.17466209649701,-1.12487569575605,-1.06433263761133,-1.07267672004852,-1.05992291680218
"ENSG00000101115.12",1.24211912841609,-0.755857781398014,-0.893937357485521,-1.13324078398506,-1.11702061439627,-1.05643545115335,-1.06458601642425,-1.04827831217667
"ENSG00000147596.3",1.20618815947109,-0.81607456540321,-0.940526308007677,-1.18858290521379,-1.12974530644688,-1.06026744587222,-1.07408390084711,-1.06206570716545
"ENSG00000248329.5",1.19647601951156,-0.792488054356633,-0.915822536195936,-1.16052420463406,-1.11233214785279,-1.0589128231828,-1.06939860302473,-1.05454229043436
"ENSG00000213860.4",1.56794726940263,-0.325205848242292,-0.502443542304273,-0.461889677654803,-0.665195400503065,-0.723587233423039,-0.810868418142777,-0.757548253932459
"ENSG00000167600.13",1.26190985137491,-0.763420279631962,-0.876022669098386,-1.06536164462776,-1.06047034654721,-0.932491091050072,-0.89108820666787,-0.856874190845604
"ENSG00000111057.10",1.24088434136786,-0.666055813558295,-0.732719953582228,-0.888664208353928,-1.06396651838062,-0.985660063686315,-1.04220815905863,-1.02009050520312
"ENSG00000130182.7",1.11766617037561,-0.814203343686949,-0.934688699972913,-1.17781039580362,-1.12659230699562,-1.06204374160026,-1.07103453338846,-1.05757211989396
"ENSG00000141682.11",1.33450573155672,-0.707166727597329,-0.860667854962165,-0.844262761438879,-0.730981177326866,-0.694447357966419,-0.83210694876188,-0.829545599684107
"ENSG00000170421.12",1.10061028279348,-0.782629413170981,-0.929708327651429,-1.12927438324402,-1.12129657961183,-1.05604066788962,-1.0689647235729,-1.05601037294266
"ENSG00000124766.6",0.959921556790305,2.31065590594258,1.76419622675363,0.633113377102732,0.151696922874371,-0.117486931995367,-0.388456740042467,-0.570508958053596
"ENSG00000176887.6",0.561571771059567,1.91080947642096,1.75957597023445,0.172678012455202,-0.23923521496209,-0.726416999585053,-0.861048086886062,-0.911107488572808
"ENSG00000137142.4",0.572820622598619,1.74091598439125,0.950548469538583,-0.51157956950759,-0.475849398341564,-0.697462933442549,-0.713934679246972,-0.684259423494636
"ENSG00000077279.17",-0.522606325183509,1.89860082821232,1.93877413959374,0.541768458894,-0.0956000724055642,-0.633930162648622,-0.595071445317845,-0.57416448030391
"ENSG00000158164.6",0.985695229509335,1.71249918841291,1.48678732597208,0.390469519877232,-0.234212880288799,-0.749432353960469,-0.923354979757271,-0.95719123370542
"ENSG00000127152.17",-0.524494061286709,1.37031051600308,0.550060727450069,-0.632692789243565,-0.607772860367786,-0.749861812264008,-0.601208293592181,-0.520192405753149
"ENSG00000164600.6",-0.87879413185932,2.35398368105973,2.09165710229117,0.729352380999165,0.663743577046109,0.142636316859715,0.355485700126602,0.492325686278473
"ENSG00000134532.15",-0.733564399557214,1.32780509282254,0.542379148396288,-0.650090549837195,-0.544402123822973,-0.587173246217103,-0.536932568686805,-0.534124450196947
"ENSG00000165617.14",0.123447093608575,1.67421018935454,1.46668819597203,0.242725343050346,-0.281411436456415,-0.482181182648589,-0.442751582880426,-0.467612671704469
"ENSG00000196565.12",-0.871236785014404,1.12066311064201,0.755558793590518,1.24601446213075,-0.824687678687389,-1.04033193492634,-1.06568938585627,-1.0516957320629
"ENSG00000143324.13",0.325810355218216,1.81126809247567,1.25561850180557,0.144801613076821,-0.0147968865047666,-0.256283253800793,-0.191278519746399,-0.113580194234411
