"","iPSC","NCX_EarlyFetal","NCX_MidFetal","NCX_LateFetal","NCX_Infant","NCX_Child","NCX_Teens","NCX_Adult"
"ENSG00000150625.16",0.644044526431439,8.54047242568864,8.3438553061014,7.98737900820506,8.18754958604899,7.68863690768351,7.45147341830034,7.26720964135584
"ENSG00000132639.12",0.240739913733128,6.18304057370024,5.75695584330572,5.29772581973433,7.56409809719388,7.46374311503512,9.1345546986214,9.66994079442058
"ENSG00000104435.13",1.69949435384022,10.1123515335848,10.7122487768305,9.31623965531066,8.63147674180558,7.21750296027338,7.90748563275091,8.18560532609608
"ENSG00000170091.10",0.0992904204566458,8.4445411776226,8.28984913870484,6.88248095305076,6.66568884538464,5.9483785407864,6.4845354050407,6.63162694450505
"ENSG00000139970.16",0.5629831208772,7.55948527165508,7.78081781609624,6.62556058880565,6.41109950891231,5.83759904402215,6.93128603811701,7.48866755990352
"ENSG00000102109.8",1.41262512460892,7.00407591083934,7.34213632915421,8.93417625215785,7.71353919913601,7.77821722331835,7.42155373090777,7.90276205590639
"ENSG00000015592.16",0.0593440726515211,6.68810106379526,7.337073755633,6.68654024531155,5.72601585376315,5.29571099000769,5.64727308488862,5.88800384830736
"ENSG00000162545.5",1.67812537602319,6.46161181321638,6.76150341164569,6.81020977105525,8.57955540328115,8.512889540469,8.51779069206767,8.41244408103143
"ENSG00000087250.8",0.0242390001507867,1.79797584940031,3.51442334371691,8.08713023990735,8.16309210532777,8.37426577152487,7.75268429659734,7.50881236301621
"ENSG00000145284.11",0.821079186489637,7.22260650857149,6.97250847260678,6.61106134058516,6.64352899895851,6.73058117753473,6.67576441804948,6.52006788874092
"ENSG00000105649.9",1.48388928914575,7.22199851338681,7.52506387152933,7.08736046507399,7.02353426684345,6.78306551234718,7.77410060474862,8.20534356213374
"ENSG00000132821.11",0.704333643357168,7.48536153804886,7.37176383436097,7.49971388671896,6.26018517790285,5.73111488204474,6.03100939586297,6.14190978406876
"ENSG00000135472.8",0.167570411538917,4.2401281304691,4.968644626124,5.39645123927741,5.80170313969003,6.43744794821197,7.34795116230165,7.82416182290527
